연번,관할청센터,시도,시군구,부서,주소,대표전화,보관장소,빈탱크로리,굴착기,암롤차,스키드로더,진공흡입차량,지게차,방독면,보호복,장갑,장화,소석회,마른모래,중탄산나트륨,흡착포,유처리제
14,여수센터,전라남도,여수시,산단환경관리과,여수시 삼동2길 13,061-659-2819,"- 국가산단(2): 남수가압장 부지 내, 낙포동 상암천 다리 위 - 오천산단(1): 오천산단 공동방지시설 부지 내 - 화양농공단지(1): 화양농공단지협의회 부지 내",-,-,-,-,-,-,12,73,70,45,-,-,-,52,108
15,여수센터,전라남도,광양시,환경과,전라남도 광양시 시청로 33,061-797-3332,광양시청 등,-,-,-,-,-,-,-,-,-,-,-,-,-,40박스,18
16,여수센터,경상남도,남해군,환경과,경상남도 남해군 남해읍 에코파크길 65-10,055-860-3273,남해군청,-,2,1,2,-,2,2,2,2,2,-,-,-,6박스,144
17,여수센터,전라남도,순천시,환경관리과,전라남도 순천시 이수로 13 (장천동),061-749-5770,순천시청,X,6,14,X,2,1,-,-,-,-,-,-,-,22,250
18,여수센터,경상남도,하동군,환경보호과,경상남도 하동군 하동읍 군청로 23,055-880-2574,수도사업과 창고 등,-,-,-,-,-,-,5,5,5,5,-,-,-,"10박스(200매/1박스), 7박스(100매/1박스)",-
19,구미센터,경상북도,구미시,환경관리과,경상북도 구미시 농산물시잘로 15,054-480-5275,환경관리과 창고,-,-,-,-,-,-,10,17,38,12,-,-,-,9박스,218
20,구미센터,경상북도,구미시,자원순환과,경상북도 구미시 산동읍 송백로 497,054-480-5235,환경자원화시설,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-
21,구미센터,대구광역시,군위군,환경과,대구광역시 군위군 군위읍 군청로 200,054-380-7992,군위군 환경관리센터,-,2,-,-,-,1,2,7,2,1,-,75,-,-,-
22,구미센터,대구광역시,군위군,환경과,대구광역시 군위군 군위읍 군청로 200,054-380-7953,군위군 재난관리자원 비축 창고,-,-,-,-,-,-,-,-,-,-,40,-,-,3300/100,54
23,구미센터,대구광역시,군위군,환경과,대구광역시 군위군 군위읍 군청로 200,054-380-7945,군위군 재난관리자원 비축 창고,-,-,-,-,-,-,12,-,26,-,-,-,-,-,-
24,구미센터,경상북도,김천시,환경위생과,경상북도 김천시 시청1길 1,054-420-6681,김천시청 등,-,3,1,-,2,8,19,11,11,21,-,-,-,900매/9박스,"1,026"
25,구미센터,경상북도,문경시,환경보호과,경상북도 문경시 당교로 225,054-550-6501,문경시청,-,2,2,-,-,4,-,1,-,10,-,-,-,57박스,"220kg, 342L"
26,구미센터,경상북도,문경시,환경보호과,경상북도 문경시 당교로 226,054-550-6502,문경새재관리사무소,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
27,구미센터,경상북도,문경시,환경보호과,경상북도 문경시 당교로 227,054-550-6503,문경시 농업기술센터,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
28,구미센터,경상북도,상주시,환경관리과,경북 상주시 상산로 223,054-537-7357,경북 상주시 상산로 223 외2,-,2,-,1,-,-,5490,32,32,32,-,-,-,15,30
29,구미센터,경상북도,성주군,자원순환사업소,경북 성주군 성주읍 삼산3길 73,054-930-6195,자원순환사업소,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
30,구미센터,경상북도,성주군,환경과,경북 성주군 성주읍 성주로 3200,054-930-6182,방제물품 창고,-,-,-,-,-,-,-,180,50,7,400,-,-,40,60
31,구미센터,경상북도,안동시,환경관리과,경상북도 안동시 퇴계로 115,054-840-5287,안동시광역매립장 창고 등,-,-,-,-,-,-,10,30,10,10,-,-,75,20,-
32,구미센터,경상북도,안동시,건설과,경상북도 안동시 퇴계로 115,054-840-6848,"퇴계로 115, 건설과",-,3,-,1,-,1,-,-,-,-,-,-,-,-,-
33,구미센터,경상북도,안동시,상수도과,경상북도 안동시 정백이골길 6,054-840-5735,"퇴계로 115, 상하수도과",-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
34,구미센터,경상북도,안동시,공원녹지과,경상북도 안동시 퇴계로 115,054-840-6458,"퇴계로 115, 산림녹지과",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
35,구미센터,경상북도,안동시,영농지원과,경상북도 안동시 경동로 1484-10(송천동),054-840-5674,안동시 농업기술센터,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-
36,구미센터,경상북도,영주시,환경보호과,경상북도 영주시 시청로 1,054-639-6775,환경관리원 사무실 (창진로 106),1,-,-,-,4,1,-,-,-,-,-,-,-,-,-
37,구미센터,경상북도,영주시,환경보호과,경상북도 영주시 시청로 1,054-639-6793,한정교 창고 (지천로2번길 47),-,-,-,-,-,-,-,12,20,5,200,0,0,40 박스,"분말 300kg, 액체 300L"
38,구미센터,경상북도,영주시,삼림과,경상북도 영주시 시청로 1,054-639-6883,산불진화대 사무실 (적서공단로 92),9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,구미센터,경상북도,영주시,유통지원과,경상북도 영주시 시청로 1,054-639-3954,농업기술센터 (안정면 안심리 131),-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
40,구미센터,경상북도,영주시,기술지원과,경상북도 영주시 시청로 1,054-639-7348,농업기술센터 (안정면 안심리 131),1,2,-,-,-,2,-,-,-,-,-,-,-,-,-
41,구미센터,경상북도,영주시,축산과,경상북도 영주시 시청로 1,054-639-7353,농업기술센터 (안정면 안심리 131),2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,구미센터,경상북도,영주시,농업정책과,경상북도 영주시 시청로 1,054-639-7305,농업기술센터 (안정면 안심리 131),-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
43,구미센터,경상북도,영주시,농촌지도과,경상북도 영주시 시청로 1,054-639-7362,농업기술센터 (안정면 안심리 131),-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
44,구미센터,경상북도,영주시,건설과,경상북도 영주시 시청로 1,054-639-6717,도로보수원사무실 (한정로 88),-,2,-,1,2,-,-,-,-,-,-,-,-,-,-
45,구미센터,경상북도,영주시,환경사업소,경상북도 영주시 시청로 1,054-639-7774,환경사업소 (적서로 131),-,1,-,3,-,1,-,-,-,-,-,-,-,-,-
46,구미센터,경상북도,영주시,안전재난과,경상북도 영주시 시청로 1,054-639-5968,안전재난과 (영주시 시청로 1),-,-,-,-,-,-,253,3,-,-,-,-,-,-,-
47,구미센터,경상북도,의성군,환경축산과,경상북도 의성군 군청길 31,054-830-6179,"의성군청(의성,다인매립장)",1,3,-,-,-,2,-,-,1142,70,-,-,-,100개/2박스,10kg
48,울산센터,울산광역시,-,환경대기과,울산광역시 남구 중앙로 201,052-229-3212,울산시청 등,-,-,-,-,-,-,28,28,20,2,-,-,-,40,0
49,울산센터,울산광역시,-,수목원관리사무소,울산광역시 울주군 온양읍 대운상대길 225-19,052-229-8573,울산수목원,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
50,울산센터,울산광역시,중구,환경위생과,울산광역시 중구 단장골길 1,052-290-3722,동천창고,-,-,-,-,-,-,5,-,-,-,-,-,-,-,360
51,울산센터,울산공역시,남구,환경관리과,울산광역시 남구 돋질로 233,052-226-5762,울산 남구청 등,-,-,-,-,-,-,46,25,35,19,20,-,60,13,66
52,울산센터,울산광역시,남구,환경자원과,울산광역시 남구 돋질로 233,052-226-5774,울산 남구청 등,-,-,2,-,7,-,-,-,-,-,-,-,-,-,-
53,울산센터,울산광역시,동구,환경위생과,울산광역시 동구 봉수로 155,052-209-3562,울산 동구청 등,-,-,1,-,-,-,5,-,-,-,-,-,-,15,-
54,울산센터,울산광역시,북구,환경위생과,울산광역시 북구 산업로 1010,052-241-7773,울산 북구청 등,-,-,1,-,-,-,"17,049",2,2,2,-,-,-,43,234
55,울산센터,울산광역시,울주군,환경기후과,울산광역시 울주군 청량읍 군청로 1,052-204-2134,울주군청 지하창고,-,-,-,-,-,-,5,10,80,30,-,-,-,10,100
56,울산센터,울산광역시,울주군,도로과,울산광역시 울주군 청량읍 군청로 1,052-204-2444,언양창고,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
57,울산센터,경상남도,양산시,수질관리과,경남 양산시 중앙로 39,055-392-3582,양산시청 창고,0,0,0,0,0,0,5,5,5,3,150,0,0,8박스,50
58,익산센터,전북특별자치도,익산시,환경관리과,전북특별자치도 익산시 인북로32길 1,063-859-5437,익산시청 등,0,0,0,0,0,0,0,0,20,20,-,0,-,50,0
59,익산센터,전북특별자치도,군산시,기후환경과,전북특별자치도 군산시 시청로 17,063-454-3403,군산시청 외,2,8,-,1,-,-,40,40,20,20,-,600,160,"1,000박스",-
60,충주센터,충청북도,충주시,대기환경과,충청북도 충주시 으뜸로 21,043-850-3673,충주시청 지하창고 등,-,-,-,-,-,-,2481,4,36,4,-,-,-,4,250
61,충주센터,충청북도,충주시,자원순환과,"충청북도 충주시 낙수당1길 41, 대형폐기물처리센터(칠금동)",043-850-6989,대형폐기물처리센터,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-
62,충주센터,충청북도,단양군,환경과,충청북도 단양군 단양읍 중앙1로 10,043-420-2664,창고,-,-,-,-,-,-,-,20,20,5,-,-,-,43박스,30
63,충주센터,충청북도,괴산군,환경과,충청북도 괴산군 괴산읍 임꺽정로90,043-830-3623,괴산군청 등,0,5,9,0,0,12,0,0,20,10,0,0,0,13박스,756
64,충주센터,충청북도,제천시,자연환경과,충청북도 제천시 내토로 295,043-641-6392,제천시청,0,0,0,0,0,0,0,14,8,30,0,0,10000,29,216(L)
65,충주센터,충청북도,음성군,재난안전과,음성군 음성읍 중앙로 173,043-871-3262,음성군 민방위장비 보관창고,-,-,-,-,-,-,532,-,-,-,-,-,-,70개,-
66,충주센터,충청북도,음성군,감곡면,음성군 감곡면 음성로 2652,043-871-2943,감곡면 행정복지센터,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
67,충주센터,충청북도,음성군,청소위생과,음성군 음성읍 문화1길 15,043-871-5493,음성군 폐가전집하장,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
68,충주센터,충청북도,음성군,청소위생과,음성군 음성읍 문화1길 15,043-871-5493,음성군 생활폐기물 청소차 차고지,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
69,충주센터,충청북도,음성군,축산식품과,음성군 음성읍 용광로 81-5,043-871-3722,축산식품과,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,충주센터,충청북도,음성군,환경과,음성군 음성읍 문화1길 15,043-871-3815,음성군 환경과,-,-,-,-,-,-,-,-,2,-,-,-,-,16개,-
71,충주센터,충청북도,음성군,금왕읍,음성군 금왕읍 무극로 221,043-871-2597,금왕읍 행정복지센터,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
72,충주센터,충청북도,음성군,농업지원과,음성군 음성읍 용광로 81-5,043-871-1952,음성군 농업기술센터,-,9,-,4,-,5,-,-,-,-,-,-,-,-,-
73,충주센터,충청북도,음성군,복지정책과,음성군 음성읍 중앙로 173,043-871-3329,음성군 재해구호창고,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-
74,충주센터,충청북도,음성군,보건정책과,음성군 음성읍 중앙로 49,043-871-2222,음성군 보건소,-,-,-,-,-,-,-,770,1800,-,-,-,-,-,-
75,충주센터,충청북도,음성군,음성읍,음성군 음성읍 신천리 1475,043-871-2535,음성읍 행정복지센터,-,-,-,-,-,-,-,-,-,-,-,-,-,10개,-
