연번,인허가기관,시도,시군구,업체명,소재지,대표전화,업종,처리방법
41,한강유역환경청,인천광역시,서구,(주)가달이엔티,인천광역시 서구 두루물로96번길 18 1층 (오류동),032-582-8855,수집·운반업,수집·운반
42,한강유역환경청,인천광역시,서구,(주)삼화정유(운반)경유시,인천 서구 석남동223-259,032-578-8490,수집·운반업,수집·운반
43,한강유역환경청,인천광역시,서구,나우엔텍,인천 서구 석남동223-716,0325759705,수집·운반업,수집·운반
44,한강유역환경청,인천광역시,서구,대성자원(검단점),인천광역시 서구 봉수대로1581번길 5-7,032-568-3224,수집·운반업,수집·운반
45,한강유역환경청,인천광역시,서구,도명특송 주식회사,인천광역시 서구 중봉대로393번길 36,032-583-6111,수집·운반업,수집·운반
46,한강유역환경청,인천광역시,연수구,주식회사 동원환경,인천 연수구 함박뫼로4번길 17,032-812-1614,수집·운반업,수집·운반
47,한강유역환경청,인천광역시,중구,동양탱크산업,"인천광역시 중구 서해대로210번길 33 (A동 204호, 신흥동3가)",032-888-7781,수집·운반업,수집·운반
48,한강유역환경청,인천광역시,중구,(주)선방,인천광역시 중구 연안부두로21번길 13 유한빌딩 301-B,032-888-3151,수집·운반업,수집·운반
49,한강유역환경청,인천광역시,미추홀구,(주)정인로지스,인천 남구 미추로 61 (숭의동 159-1) 광해리드빌 101동 203호,031-356-2188,수집·운반업,수집·운반
50,한강유역환경청,인천광역시,연수구,인하환경,"인천 연수구 청능대로 113번길 11(연수동, 연수그린타워 403호)",032-814-8778,수집·운반업,수집·운반
51,한강유역환경청,인천광역시,동구,광성환경(주),인천 동구 송림동 297-44,032-578-4800,수집·운반업,수집·운반
52,한강유역환경청,인천광역시,동구,(주)현성환경개발,"인천 동구 방축로 37번길 30, 인천산업용품유통단지 8동 313호",032-571-6767,수집·운반업,수집·운반
53,한강유역환경청,인천광역시,미추홀구,(주)북부환경,인천 남구 학익동 251-39,032-583-0151,수집·운반업,수집·운반
54,한강유역환경청,인천광역시,남동구,대한민국상이군경회 인천광역시지부 지정폐기물사업소,"인천 남동구 경인로 734, 2층(간석동, 인천보훈회관)",032-507-7641,수집·운반업,수집·운반
55,한강유역환경청,인천광역시,부평구,동국종합상사,인천 부평구 부평동 457-9 이레빌딩 201호,032-514-9777,수집·운반업,수집·운반
56,한강유역환경청,인천광역시,서구,(주)유성엔텍[구.유성엔텍],"인천 서구 북항로31번길 24, 2층",032-582-6811,수집·운반업,수집·운반
57,한강유역환경청,경기도,고양시,일진환경(주),경기도 고양시 일산동구 고풍로43번길 36-14 201호 (풍동),031-907-7696,수집·운반업,수집·운반
58,한강유역환경청,경기도,고양시,(주)성림에너지(지정),경기 고양시 일산서구 구산동5-10번지,031-923-5700,수집·운반업,수집·운반
59,한강유역환경청,경기도,고양시,아이엔지환경개발(주),경기 고양시 덕양구 내유동3번지,031-972-3084,수집·운반업,수집·운반
60,한강유역환경청,경기도,고양시,서원환경,경기도 고양시 덕양구 대장길 56-5 가동 (대장동),031-967-6623,수집·운반업,수집·운반
61,한강유역환경청,경기도,김포시,세방정유(주),경기 김포시 대곶면 송마리209,031-989-5100,수집·운반업,수집·운반
62,한강유역환경청,경기도,김포시,대성자원 (수집운반),경기 김포시 대곶면 송마리210,032-563-3220,수집·운반업,수집·운반
63,한강유역환경청,경기도,김포시,(주)일광자원,경기 김포시 하성면 하사리87-17,031-998-8932,수집·운반업,수집·운반
64,한강유역환경청,경기도,김포시,해성상사,경기도 김포시 양촌읍 삼도공단로11번길 31-1,0319844620,수집·운반업,수집·운반
65,한강유역환경청,경기도,김포시,까치환경(주)(운반),경기 김포시 통진읍 가현리616-1,031-997-9437,수집·운반업,수집·운반
66,한강유역환경청,경기도,남양주시,(주)자연산업,경기도 남양주시 미금로 10 송라빌딩 402호,031-566-4477,수집·운반업,수집·운반
67,한강유역환경청,경기도,남양주시,남양그린(주),"경기도 남양주시 경춘로1256번길 6 405호 (평내동,다모아프라자)",031-511-9831,수집·운반업,수집·운반
68,한강유역환경청,경기도,동두천시,(주)삼백건설.,경기 동두천시 생연동440-3 신궁전맨션상가동 106호,0318652300,수집·운반업,수집·운반
69,한강유역환경청,경기도,동두천시,(주)진성건설에너지,경기도 동두천시 삼육사로659번길 42-14,031-866-2114,수집·운반업,수집·운반
70,한강유역환경청,경기도,동두천시,(주)덕양,경기도 동두천시 송내로71번길 7-14,031-868-5205,수집·운반업,수집·운반
71,한강유역환경청,경기도,부천시,예름사(주),경기도 부천시 오정로134번길 5,032-684-3743,수집·운반업,수집·운반
72,한강유역환경청,경기도,부천시,(주)자산이에스,경기도 부천시 옥산로251번길 20,032-677-5922,수집·운반업,수집·운반
73,한강유역환경청,경기도,부천시,(주)하이테크,"경기도 부천시 석천로 397 (삼정동, 부천테크노파크쌍용3차)101동 1209호 3호",0326242425,수집·운반업,수집·운반
74,한강유역환경청,경기도,수원시,(주)케이투제이개발,경기도 수원시 장안구 장안로 296 (정자동) 2층,031-268-7270,수집·운반업,수집·운반
75,한강유역환경청,경기도,시흥시,(주)씨에스그린,"경기도 시흥시 배곧3로 86 409호 (정왕동,센터프라자Ⅱ)",031-433-3911,수집·운반업,수집·운반
76,한강유역환경청,경기도,시흥시,(주)일진환경자원,경기 시흥시 대야동541-1 유호오피스텔 203호,031-314-8905,수집·운반업,수집·운반
77,한강유역환경청,경기도,시흥시,(주)남양에너지,"경기도 시흥시 옥구천서로81번길 73, 시화공단 1마 702,703",031-433-7011,수집·운반업,수집·운반
78,한강유역환경청,경기도,시흥시,(주)성림E.T,경기 시흥시 정왕동1398-2 206호,031-319-4105,수집·운반업,수집·운반
79,한강유역환경청,경기도,시흥시,천지에너지(주),"경기도 시흥시 옥구천서로81번길 13, (정왕동 1697-2 시화공단 1마 503,천지에너지(주))",031-498-3251,수집·운반업,수집·운반
80,한강유역환경청,경기도,시흥시,케이지이티에스(주),경기 시흥시 소망공원로 5 (정왕동 1235-7),031-488-1192,수집·운반업,수집·운반
81,한강유역환경청,경기도,시흥시,(주)드림에코,경기도 시흥시 역전로 33 4층 402호,031-431-3778,수집·운반업,수집·운반
82,한강유역환경청,경기도,시흥시,(주)상우환경,경기 시흥시 정왕동1728-17 금성플라자304호,031-431-0619,수집·운반업,수집·운반
83,한강유역환경청,경기도,시흥시,(주)범진환경,경기도 시흥시 봉우재로175번길 36-4 2층,031-499-6322,수집·운반업,수집·운반
84,한강유역환경청,경기도,시흥시,(주)케이비에스산업,경기 시흥시 정왕동2321-1번지 블랙이글빌딩 5층,031-488-9371,수집·운반업,수집·운반
85,한강유역환경청,경기도,시흥시,(주)시온산업,"경기도 시흥시 공단1대로 244, 27동 220호 (정왕동,시화유통상가)",031-430-7899,수집·운반업,수집·운반
86,한강유역환경청,경기도,시흥시,신일정유,경기도 시흥시 옥구천서로81번길 34 (정왕동 1355-9 시화공단 1마 317),031-498-8338,수집·운반업,수집·운반
87,한강유역환경청,경기도,시흥시,주식회사 에스케이와이서비스,경기도 시흥시 서해안로736번길 220,031-432-4646,수집·운반업,수집·운반
88,한강유역환경청,경기도,시흥시,주식회사 위캔두,경기도 시흥시 하중로 193 2층 202호(하중동),031-431-9973,수집·운반업,수집·운반
89,한강유역환경청,경기도,시흥시,태양환경 주식회사,"경기도 시흥시 평안상가4길 17(정왕동, 삼성프라자) 4층 8호",0314315244,수집·운반업,수집·운반
90,한강유역환경청,경기도,시흥시,수정환경,"경기도 시흥시 오이도로 21, 3층 315호 (정왕동, STEELLAND)",0314955257,수집·운반업,수집·운반
91,한강유역환경청,경기도,안산시,기성산업환경(주),"경기 안산시 단원구 신길동1423-1, 5층",031-493-9679,수집·운반업,수집·운반
92,한강유역환경청,경기도,안산시,비노텍(주),경기 안산시 원시동836-9,031-491-5000,수집·운반업,수집·운반
93,한강유역환경청,경기도,안산시,한국환경개발(주),경기도 안산시 단원구 첨단로207번길 5,031-498-6644,수집·운반업,수집·운반
94,한강유역환경청,경기도,안산시,성림유화(주),경기도 안산시 단원구 첨단로 215(성곡동),031-499-3813,수집·운반업,수집·운반
95,한강유역환경청,경기도,안산시,대일개발(주),경기도 안산시 단원구 지원로 7 시화공단 5바 514,031-498-1451,수집·운반업,수집·운반
96,한강유역환경청,경기도,안산시,부경산업(주),경기도 안산시 단원구 신원로91번길 16 반월공단 608B-14L,031-491-3971,수집·운반업,수집·운반
97,한강유역환경청,경기도,안산시,합자회사 서진,경기 안산시 상록구 사동1402-1번지(장화1길 50),031-408-8272,수집·운반업,수집·운반
98,한강유역환경청,경기도,안산시,(주)복천,경기 안산시 단원구 고잔동775 폴리타운 711,031-493-6432,수집·운반업,수집·운반
99,한강유역환경청,경기도,안산시,(주)뉴대성,경기도 안산시 상록구 석호로 348 (본오동 2층),031-407-6464,수집·운반업,수집·운반
100,한강유역환경청,경기도,안산시,(주)동우개발-지정,경기 안산시 단원구 고잔동518번지 자유센타 506~508호,0314116815,수집·운반업,수집·운반
101,한강유역환경청,경기도,안산시,유진에너지(주),경기 안산시 상록구 본오동877-5 우남센스빌 535호,031-419-9480,수집·운반업,수집·운반
102,한강유역환경청,경기도,안산시,기민이엔지(주),"경기도 안산시 상록구 안산천동로4길 10-1, 102호(월피동)",031-484-5953,수집·운반업,수집·운반
103,한강유역환경청,경기도,안성시,덕산실업(주),경기도 안성시 미양면 미양로 269-130,031-671-1241,수집·운반업,수집·운반
104,한강유역환경청,경기도,안양시,(주)매일환경개발(지정),"경기도 안양시 동안구 안양판교로 20 (관양동, 신한데뷰오피스텔) 405호",031-473-7878,수집·운반업,수집·운반
105,한강유역환경청,경기도,양주시,신성화학,경기도 양주시 화합로1325번길 439,031-863-6177,수집·운반업,수집·운반
106,한강유역환경청,경기도,양주시,세방환경(주),경기 양주시 남면운하로 88(상수리 5-5),031-866-0606,수집·운반업,수집·운반
107,한강유역환경청,경기도,양평군,주식회사금왕산업개발,경기 양평군 지평면 무왕리337-2,031-774-1335,수집·운반업,수집·운반
108,한강유역환경청,경기도,연천군,(주)정인산업개발,경기 연천군 청산면순욱길 25-60,031-832-1918,수집·운반업,수집·운반
109,한강유역환경청,경기도,오산시,대성리사이클,경기도 오산시 경기대로636번길 25,031-375-9225,수집·운반업,수집·운반
110,한강유역환경청,경기도,오산시,(주)신호정유(오산),경기도 오산시 황새로149번길 56,031-375-5871,수집·운반업,수집·운반
111,한강유역환경청,경기도,용인시,효원환경(주) 용인지점,경기도 용인시 처인구 이동읍 문화로 118,031-675-2350,수집·운반업,수집·운반
112,한강유역환경청,경기도,이천시,동일특운(주),경기 이천시 율면 고당리140-1,031-641-0280,수집·운반업,수집·운반
113,한강유역환경청,경기도,이천시,하나케이주식회사,경기도 이천시 대월면 양녕로 57,031-632-8888,수집·운반업,수집·운반
114,한강유역환경청,경기도,이천시,(주)아주환경연구소(운반),경기도 이천시 대월면 진상미로1588번길 125,031-634-0494,수집·운반업,수집·운반
115,한강유역환경청,경기도,평택시,주식회사 화인에코,경기도 평택시 청북읍 현곡길 168-11,031-684-6667,수집·운반업,수집·운반
116,한강유역환경청,경기도,평택시,(주)클린코리아,경기도 평택시 진위면 서탄로 43-6,031-668-0211,수집·운반업,수집·운반
117,한강유역환경청,경기도,평택시,(주)뉴그린,경기도 평택시 포승읍 포승공단순환로 602,031-682-2700,수집·운반업,수집·운반
118,한강유역환경청,경기도,평택시,(주)경인환경,경기도 평택시 진위면 진위로 181-55,031-668-7956,수집·운반업,수집·운반
119,한강유역환경청,경기도,평택시,(주)재운환경산업,경기 평택시 서탄면 내천리206-4,031-665-0451,수집·운반업,수집·운반
120,한강유역환경청,경기도,평택시,대진개발(주),경기도 평택시 청북읍 청북산단로 40 302호,031-682-5604,수집·운반업,수집·운반
121,한강유역환경청,경기도,평택시,(주)에이엠,경기도 평택시 오성면 오성산단1로 112-104 B동2층,031-8059-1372,수집·운반업,수집·운반
122,한강유역환경청,경기도,평택시,(주)대경이엔지,경기 평택시 내천길 142-22,031-662-5130,수집·운반업,수집·운반
123,한강유역환경청,경기도,평택시,나로환경,경기도 평택시 청북읍 어연길 108-10,0316116661,수집·운반업,수집·운반
124,한강유역환경청,경기도,평택시,주식회사 그린이앤씨,경기도 평택시 포승읍 평택항만길 86-54,031-686-6796,수집·운반업,수집·운반
125,한강유역환경청,경기도,평택시,(주)원엔원,경기도 평택시 비전2로 216 308호,031-658-2229,수집·운반업,수집·운반
126,한강유역환경청,경기도,평택시,(주)클린코리아 경기사업소,경기 평택시 삼봉로 77-8,031-663-3179,수집·운반업,수집·운반
127,한강유역환경청,경기도,평택시,오복환경,경기 평택시 서탄면 수월암길 15-8 (수월암리 380-1),031-212-1083,수집·운반업,수집·운반
128,한강유역환경청,경기도,하남시,(주)네이처산업,경기도 하남시 하남대로776번길 61-5 (신장동 394-3 한울빌딩4층),031-794-6886,수집·운반업,수집·운반
129,한강유역환경청,경기도,화성시,(주)케이에스에너지(운반),경기 화성시 정남면 내향로 240-55,031-317-1674,수집·운반업,수집·운반
130,한강유역환경청,경기도,화성시,(주)대청환경,"경기 화성시 팔탄면 구장리33-3(원골길 7), 제B동 2층",031-353-0601,수집·운반업,수집·운반
131,한강유역환경청,경기도,화성시,(주)지엔티,경기도 화성시 동탄반석로 160 B동 504호,031-372-2191,수집·운반업,수집·운반
132,한강유역환경청,경기도,화성시,대양그린산업,경기 화성시 비봉면 자안리725,031-355-4423,수집·운반업,수집·운반
133,한강유역환경청,경기도,화성시,경기환경,경기 화성시 팔탄면 서해로987번길 11,031-227-5982,수집·운반업,수집·운반
134,한강유역환경청,경기도,화성시,인영리싸이클링(주),경기 화성시 장안면 수촌리745-10(방축말길35번길 60-13),0313543767,수집·운반업,수집·운반
135,한강유역환경청,경기도,화성시,덕은인터라인정유(주),경기 화성시 마도면 쌍송리268-3,031-357-5151,수집·운반업,수집·운반
136,한강유역환경청,경기도,화성시,신대한정유산업(주),"경기 화성시 정남면 고지리28-1,4번지(가장로 334-10)",031-352-3831,수집·운반업,수집·운반
137,한강유역환경청,경기도,화성시,인바이오텍(주) 화성지점,경기 화성시 팔탄면 율암리112-2,031-354-1990,수집·운반업,수집·운반
138,한강유역환경청,경기도,화성시,(주)하나이앤에스(운반),경기 화성시 장안면 노진리16-11,031-351-8873,수집·운반업,수집·운반
139,한강유역환경청,경기도,화성시,광진데코(주),경기 화성시 비봉면 양노남길 131,031-366-9565,수집·운반업,수집·운반
140,한강유역환경청,경기도,화성시,한국석유공업(주),경기 화성시 향남읍 구문천리657-6,031-354-2650,수집·운반업,수집·운반
141,한강유역환경청,경기도,화성시,꿈에그린(주),경기 화성시 정남면서봉로851번길 16-8,031-354-2808,수집·운반업,수집·운반
142,한강유역환경청,경기도,화성시,이엔래비스(주),경기 화성시 우정읍 호곡리230-192,031-416-3515,수집·운반업,수집·운반
143,한강유역환경청,경기도,화성시,디에이치산업(주),경기도 화성시 마도면 해운로630번길 58 A동 1층,031-356-5976,수집·운반업,수집·운반
144,한강유역환경청,경기도,화성시,(주)케이환경(지정),경기 화성시 팔탄면 서해로 851-5,031-353-3554,수집·운반업,수집·운반
145,한강유역환경청,경기도,화성시,(주)화성에너텍,경기 화성시 비봉면 양노리760,031-355-7433,수집·운반업,수집·운반
146,한강유역환경청,경기도,화성시,미래환경(지정),경기 화성시 팔탄면 가재리279-3(201호),031-202-5959,수집·운반업,수집·운반
147,한강유역환경청,경기도,화성시,(주)엠케이그린에너지산업,경기도 화성시 향남읍 발안로464번길 14-9,031-8059-1280,수집·운반업,수집·운반
148,한강유역환경청,경기도,화성시,(주)동현자원,경기도 화성시 팔탄면 율암길95번길 43,031-311-5883,수집·운반업,수집·운반
149,한강유역환경청,경기도,화성시,대양그린산업(주),경기도 화성시 장안면 장안로227번길 35-31,031-353-0468,수집·운반업,수집·운반
150,한강유역환경청,경기도,화성시,(주)탑에코,경기도 화성시 향남읍 장안로 662-107,031-8047-0407,수집·운반업,수집·운반
151,한강유역환경청,경기도,화성시,주식회사 세진,경기도 화성시 양감면 초록로693번길 20-10,031-354-8266,수집·운반업,수집·운반
152,한강유역환경청,경기도,화성시,(주)씨에스에코,경기도 화성시 장안면 매바위로366번길 68-13,0313546527,수집·운반업,수집·운반
153,한강유역환경청,경기도,화성시,(주)삼동그린,경기 화성시 양감면 용소금각로 121-25,031-357-3664,수집·운반업,수집·운반
154,한강유역환경청,경기도,화성시,(주)HB에너지,경기 화성시 정남면 괘랑보통길 119,031-353-8628,수집·운반업,수집·운반
155,한강유역환경청,경기도,고양시,(주)매디이엔지,경기 고양시 덕양구 토당로 168번길 7-4,031-979-9297,수집·운반업,수집·운반
156,한강유역환경청,경기도,부천시,(주)그린써비스,경기 부천시 오정구 삼정동 205-1,032-673-8700,수집·운반업,수집·운반
157,한강유역환경청,경기도,군포시,한국위험물환경기도술(주),경기 군포시 금정동 718-1(4층)(임대),031-457-1194,수집·운반업,수집·운반
158,한강유역환경청,경기도,양주시,(주)하이텍코리아,경기 양주시 백석읍 가업리 570,031-855-7788,수집·운반업,수집·운반
159,한강유역환경청,경기도,용인시,고성피앤피,경기 용인시 기흥구 언남동 2-1,-,수집·운반업,수집·운반
160,한강유역환경청,경기도,용인시,용문산업(주),경기 용인시 처인구 백암면 가창로 29(가창리),031-338-8787,수집·운반업,수집·운반
161,한강유역환경청,경기도,안산시,(주)시온산업[구.(주)성일산업(주).방주환경]],"경기 안산시 선부동 1028, 제일종합시장 3030호",031-480-4114,수집·운반업,수집·운반
162,한강유역환경청,경기도,안산시,지알에스환경(주),"경기 안산시  상록구 양지편로 36, 201호",031-475-8056,수집·운반업,수집·운반
163,한강유역환경청,경기도,남양주시,고려상사,경기 남양주시 진건읍 용정리 237,031-574-5978,수집·운반업,수집·운반
164,한강유역환경청,경기도,화성시,(주)용마환경,경기 화성시 송산동 192-236,031-223-4696,수집·운반업,수집·운반
165,한강유역환경청,경기도,화성시,(주)수연산업개발,경기 화성시 양감면 용소금각로 111(용소리),031-664-8582,수집·운반업,수집·운반
166,한강유역환경청,경기도,화성시,에코환경,경기 화성시 양감면 신왕리 11-3,031-351-8827,수집·운반업,수집·운반
167,한강유역환경청,경기도,화성시,디에이치환경(주),"경기 화성시 마도면 청원로 155번길 96
(쌍송리 405)",031-357-5930,수집·운반업,수집·운반
168,한강유역환경청,경기도,평택시,거해지엔씨(주),"경기 평택시 진위면 동천리 613-1, 202호",031-668-1220,수집·운반업,수집·운반
169,한강유역환경청,경기도,평택시,(주)서해석유,경기 평택시 포승읍 포승향남로 194-75 1층 (도곡리 141-14),031-683-0549,수집·운반업,수집·운반
170,한강유역환경청,경기도,평택시,(주)지인테크,경기 평택시 포승읍 서동대로 1147,031-684-4562,수집·운반업,수집·운반
171,한강유역환경청,경기도,의정부시,(주)이솔루션,경기 의정부시 금오동 471-2 해피플러스 506호,031-853-8787,수집·운반업,수집·운반
172,한강유역환경청,경기도,의정부시,(주)에코존,경기 의정부시 신곡동 522-1 대영프라자 2층 203-2호,031-865-1444,수집·운반업,수집·운반
173,한강유역환경청,경기도,시흥시,(주)초심,"경기 시흥시 연성로 13번길 5-4, 402호 403호",031-319-9030,수집·운반업,수집·운반
174,한강유역환경청,경기도,김포시,(주)클린환경,경기도 김포시 대곶면 수남로 55,031-996-4455,수집·운반업,수집·운반
175,한강유역환경청,경기도,이천시,(주)에이에스엠,경기 이천시 대월면 사동리 3-5,031-636-2918,수집·운반업,수집·운반
176,한강유역환경청,경기도,포천시,미래폴,경기 포천시 창수면 추동리 570,031-531-7131,수집·운반업,수집·운반
177,낙동강유역환경청,부산광역시,강서구,지테크환경주식회사,부산 강서구 대저동2440-2,051-326-7070,수집·운반업,수집·운반
178,낙동강유역환경청,부산광역시,강서구,(주)지오환경(강서구),부산광역시 강서구 녹산산단165로14번길 11-13,051-831-1954,수집·운반업,수집·운반
179,낙동강유역환경청,부산광역시,강서구,유담환경,부산광역시 강서구 낙동북로21번길 19,051-972-3510,수집·운반업,수집·운반
180,낙동강유역환경청,부산광역시,강서구,(주)은성이엔씨,부산광역시 강서구 명지오션시티9로 55 207호,051-201-1412,수집·운반업,수집·운반
181,낙동강유역환경청,부산광역시,강서구,우봉이엔티,부산광역시 강서구 경전철로 211 3층,051-972-0953,수집·운반업,수집·운반
182,낙동강유역환경청,부산광역시,금정구,(주)명진로지스,부산 금정구 금정로 143-2 3층 (장전동),051-582-3978,수집·운반업,수집·운반
183,낙동강유역환경청,부산광역시,금정구,동건환경,부산광역시 금정구 수원지로22번길 38,051-525-3205,수집·운반업,수집·운반
184,낙동강유역환경청,부산광역시,금정구,현대실업,부산광역시 금정구 공단로8번길 15,051-523-0007,수집·운반업,수집·운반
185,낙동강유역환경청,부산광역시,기장군,육육로지스틱스(주),부산 기장군 장안읍정관로 1148,051-526-6666,수집·운반업,수집·운반
186,낙동강유역환경청,부산광역시,동래구,흥한환경개발(주),"부산광역시 동래구 미남로132번길 14 708호 (온천동, 효창오피스텔)",051-973-2504,수집·운반업,수집·운반
187,낙동강유역환경청,부산광역시,사상구,한국특수환경,부산 사상구 삼락동398-12,051-302-6997,수집·운반업,수집·운반
188,낙동강유역환경청,부산광역시,사상구,(주)동아유화,부산 사상구 감전동146-8,051-323-4411,수집·운반업,수집·운반
189,낙동강유역환경청,부산광역시,사상구,(주)미천환경,부산광역시 사상구 낙동대로916번길 17,051-323-6168,수집·운반업,수집·운반
190,낙동강유역환경청,부산광역시,사하구,태봉산업(주)(운반자),부산 사하구 하단동901-1번지,055-323-7225,수집·운반업,수집·운반
191,낙동강유역환경청,부산광역시,연제구,명성통운(주),부산 연제구 연산동588-3,051-853-3330,수집·운반업,수집·운반
192,낙동강유역환경청,부산광역시,영도구,한성산업,부산광역시 영도구 태종로50번길 35 1층,051-418-2272,수집·운반업,수집·운반
