연번,구분,시도,시군구,부서,주소,대표전화,보관장소,빈탱크로리,굴착기,암롤차,스키드로더,진공흡입차량,지게차,방독면,보호복,장갑,장화,소석회,마른모래,중탄산나트륨,흡착포,유처리제
57,기초,부산광역시,사상구,도시관리과,부산광역시 사상구 학감대로 242,051-310-4657,낙동대로943번길 205 (적치물보관소),-,-,-,-,-,-,,,,,-,"45,000",-,,
58,기초,부산광역시,사하구,환경위생과,부산광역시 사하구 낙동대로 398번길 12,051-220-4424,사하구청 등,-,-,-,-,-,-,"18,308개",40개,-,-,-,"모래주머니 10,000개",-,18박스,"분말 50kg, 액체 126L"
59,기초,부산광역시,서구,구민안전과,부산광역시 서구 구덕로 120,051-240-4646,민방위교육장,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
60,기초,부산광역시,서구,환경위생과,부산광역시 서구 구덕로 120,051-240-4398,서구청 신관 1층 창고,-,-,-,-,-,-,2,-,-,5,-,-,-,1,72L
61,기초,부산광역시,서구,청소행정과,부산광역시 서구 구덕로 120,051-240-4436,서구 에코센터,-,-,5,-,2,2,-,-,-,-,-,-,-,-,-
62,기초,부산광역시,수영구,안전관리과,부산광역시 수영구 남천동로 100,051-610-4645,수영구청 방재창고,-,-,-,-,-,-,-,720,720,-,-,-,-,3,-
63,기초,부산광역시,연제구,환경위생과,부산광역시 연제구 연제로 2,051-665-4395,연제구청 등,-,-,4,-,-,-,-,-,-,-,-,-,-,18,-
64,기초,부산광역시,영도구,청소행정과,부산광역시 영도구 태종로 423,051-419-4435,청소차량 차고지,-,-,-,-,2(청소차량),1,-,-,-,-,-,-,-,-,-
65,기초,부산광역시,영도구,청소행정과,부산광역시 영도구 태종로 423,051-419-4461,재활용 선별장,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
66,기초,부산광역시,영도구,환경위생과,부산광역시 영도구 태종로 423,051-419-4392,창고,-,-,-,-,-,-,-,3,6,6,-,-,-,9,180L
67,기초,부산광역시,중구,자원순환과,중구 중구로 120,051-600-4821,환경자원관리소,-,-,2,1,-,2,-,-,-,-,-,-,-,-,-
68,기초,부산광역시,해운대구,재난안전과,부산광역시 해운대구 중동2로 11,051-749-4648,우동 방재창고,-,-,-,-,-,-,-,-,50,30,-,"21,900",-,-,-
69,기초,부산광역시,해운대구,환경위생과,부산광역시 해운대구 센텀중앙로 170,051-749-4395,해운대구청 본관창고,-,-,-,-,-,-,2,-,10,-30,-,"-21,900",-,3,-
70,기초,인천광역시,중구(원도심),위생환경과,"인천 중구 신포로27번길 80, 동별관 3층",032-760-7402,위생환경과 지하창고,-,-,-,-,-,-,15,30,20,8,8,-,-,25박스,40
71,기초,인천광역시,중구(원도심),자원순환과,"인천 중구 신포로27번길 80, 동별관 2층",032-760-7416,인천 중구 서해대로180번길 58(원도심) 인천 중구 운남동 1131-41(영종용유),-,-,-,-,8,1,-,-,-,-,-,-,-,-,-
72,기초,인천광역시,중구(원도심),건설과,"인천 중구 신포로27번길 80, 북별관 2층",032-760-7434,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,기초,인천광역시,중구(영종·용유),친환경위생과,"인천 중구 운남서로 100, 국제도시관 4층",032-760-7738,친환경위생과 지하창고,-,-,-,-,-,-,-,2,50,7,-,5,-,30박스,70
74,기초,인천광역시,중구(영종·용유),기반시설과,"인천 중구 운남서로 100, 국제도시관 3층",032-760-8855,제설창고 등,-,1,-,2,-,-,-,-,-,4,-,-,-,-,-
75,기초,인천광역시,미추홀구,환경보전과,인천광역시 미추홀구 독정이로 95,032-880-5953,미추홀구청 등,,,,,,,,90,500,10,,,,17박스,90L
76,기초,인천광역시,연수구,환경보전과,인천광역시 연수구 원인재로 115,032-749-7942,연수구청 등,-,-,-,1,5,6,10,160,100,10,-,-,-,8박스,30
77,기초,인천광역시,남동구,환경보전과,인천광역시 남동구 소래로 633,032-453-2614,남동구청 등,0,0,0,0,0,0,30,5,16,3,80,,-,14박스,분말 : 50kg 액체 : 3통
78,기초,인천광역시,부평구,환경보전과,인천광역시 부평구 부평대로 168,032-509-6653,부평구청,-,-,-,-,-,-,7,11,5,10,120,-,-,9박스,36
79,기초,인천광역시,부평구,도로과,인천광역시 부평구 부평대로 168,032-509-6817,부평구청,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
80,기초,인천광역시,계양구,환경과,계산새로 88,032-450-5414,청사 내 창고,-,-,-,-,-,-,-,2,2,2,40,-,-,14box,20
81,기초,인천광역시,서구,환경관리과,인천광역시 서구 서곶로 307,032-560-4354,자체보유X,,2,,,,,15,,5,11,,,250,18박스,40L
82,기초,인천광역시,옹진군,환경위생과,인천광역시 미추홀구 매소홀로 120,032-899-2615,각 면사무소,0,0,20,-,4,8,0,520,10,5,-,-,-,90,"2,466"
83,기초,인천광역시,동구,환경위생과,인천광역시 동구 금곡로 67,032-770-7883,의회 지하창고,-,-,-,-,-,-,2,2,2,2,-,-,-,10,180
84,광역,대구광역시,대구광역시,물환경과,"대구광역시 북구 연암로 40, 산격청사 103동",053-803-4301,대구시청 등,-,-,-,-,-,-,-,13,65,28,560,-,-,50박스,200
85,기초,대구광역시,군위군,환경과,대구광역시 군위군 군위읍 군청로 200,054-380-7992,군위군 환경관리센터,-,2,-,-,-,1,2,7,2,1,-,75,-,-,-
86,기초,대구광역시,군위군,환경과,대구광역시 군위군 군위읍 군청로 200,054-380-7953,군위군 재난관리자원 비축 창고,-,-,-,-,-,-,-,-,-,-,40,-,-,3300/100,54
87,기초,대구광역시,군위군,환경과,대구광역시 군위군 군위읍 군청로 200,054-380-7945,군위군 재난관리자원 비축 창고,-,-,-,-,-,-,12,-,26,-,-,-,-,-,-
88,기초,대구광역시,남구,녹색환경과,대구광역시 남구 이천로 51,053-664-2576,남구청 창고,-,-,-,-,-,-,-,10,10,20,-,10,-,18박스,162
89,기초,대구광역시,달서구,기후환경과,"대구광역시 달서구 학산로 45, 달서구청",053-667-2602,달서구청 등,-,-,-,-,-,-,6,-,-,-,-,-,-,3900매,144L
90,기초,대구광역시,달성군,환경과,대구광역시 달성군 논공읍 달성군청로 33,053-668-2602,달성군청 창고,-,-,-,-,-,-,-,8,18,10,-,-,-,30,408
91,기초,대구광역시,동구,환경과,대구광역시 동구 아양로 207(신암동),053-662-2604,동구청,-,-,-,-,-,-,-,50,25,80,40,-,-,20,648
92,기초,대구광역시,북구,환경관리과,대구광역시 북구 옥산로 1(노원동1가),053-665-2605,북구청 등,-,-,-,-,-,-,17,17,17,11,60,-,-,15박스,540
93,기초,대구광역시,동구,생활환경과,대구광역시 서구 국채보상로 257,053-663-2605,방제창고 (달서천로 16-6),0,0,0,0,0,0,2,116,30,18,50,0,0,2300게/23박스,180
94,기초,대구광역시,중구,환경과,대구광역시 국채보상로139길 1,053-661-2583,중구청 등,0,0,0,0,3,0,17,76,16,12,-,0,-,25박스,180
95,기초,광주광역시,동구,기후환경과,광주광역시 동구 서남로 1,062-608-2492,동구청 등,0,0,0,0,0,0,4,0,0,6,0,0,0,12박스,37
96,기초,광주광역시,서구,환경보전과,광주광역시 서구 경열로 33,062-360-7659,기후환경과 비축창고,0,0,0,0,0,0,0,0,0,0,0,0,0,22,180
97,기초,광주광역시,남구,환경관리과,광주광역시 남구 봉선로 1,062-607-3642,구.보훈병원주차장,0,0,0,0,0,0,1,10,10,10,0,0,0,35박스,36
98,기초,광주광역시,북구,기후환경과,광주광역시 북구 우치로 77,062-410-6472,북구청 등,0,0,0,0,6,1,4,4,4,4,0,"40,000개(모래주머니)",0,14박스,180
99,기초,광주광역시,광산구,기후환경과,광주광역시 광산구 광산로29번길 15,062-960-8448,수완동 898,0,0,0,0,0,0,4,0,20,20,0,0,0,28,108
100,기초,대전광역시,동구,환경과,대전광역시 동구 가오동 425,042-251-4546,동구청 및 재활용선별센터 16개 동 및 가양동 창고,-,-,1,-,3,1,13857,-,-,-,-,-,-,11박스,60
101,기초,대전광역시,중구,기후환경과,대전광역시 중구 중앙로 100,042-606-7302,중구청 기후환경과 수질관리팀 창고,-,-,-,-,-,-,-,-,-,-,-,-,-,100개/17박스,50
102,기초,대전광역시,중구,재난안전과,대전광역시 중구 중앙로 100,042-606-7462,각 동 행정복지센터 및 민방위교육장,-,-,-,-,-,-,"12,578",-,-,-,-,-,-,-,-
103,기초,대전광역시,서구,건설과,대전광역시 서구 둔산서로100,042-288-3962,서구청 등,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-
104,기초,대전광역시,서구,지역경제과,대전광역시 서구 둔산서로 100,042-288-2482,서구청,-,-,-,-,-,-,-,30,500,200,-,-,-,-,-
105,기초,대전광역시,서구,기후환경과,대전광역시 서구 둔산서로 100,042-288-3513,서구청,-,-,-,-,-,-,-,30,28,28,40,-,-,27개,80
106,기초,대전광역시,서구,자원순환과,대전광역시 서구 둔산서로 100,042-288-3582,정림동 1-7(차고지),-,-,-,-,5,-,-,-,146,146,-,-,-,-,-
107,기초,대전광역시,서구,갈마1동,대전광역시 서구 신갈마로 191,042-288-5396,갈마1동 행정복지센터 내,-,-,-,-,-,-,251,-,50,6,-,-,-,-,-
108,기초,대전광역시,서구,갈마2동,대전광역시 서구 대덕대로 147,042-288-5426,행정복지센터 지하창고,-,-,-,-,-,-,745,-,-,-,-,1800,-,-,-
109,기초,대전광역시,서구,괴정동,대전광역시 서구 가장로 57,042-288-5306,동 지하 및 건물 옆 창고,-,-,-,-,-,-,-,-,-,4,-,100,-,-,-
110,기초,대전광역시,서구,둔산2동,대전광역시 서구 둔산서로 80,042-288-5248,둔산2동행정복지센터,-,-,-,-,-,-,1079,-,10,3,-,-,-,-,-
111,기초,대전광역시,서구,용문동,대전광역시 서구 계룡로 626-1,042-288-5155,용문동 행정복지센터 창고,-,-,-,-,-,-,"1,144",-,-,-,-,-,-,-,-
112,기초,대전광역시,서구,도안동,대전광역시 서구 원도안로242번길 33,042-288-5696,창고,-,-,-,-,-,-,1510,-,-,20,-,-,-,-,-
113,기초,대전광역시,서구,가장동,대전광역시 서구 도산로 282,042-288-5335,가장동행정복지센터,-,-,-,-,-,-,500,-,-,10,-,-,-,-,-
114,기초,대전광역시,서구,월평1동,대전광역시 서구 월평서로 13,042-288-5456,월평1동 행정복지센터,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-
115,기초,대전광역시,서구,월평3동,대전광역시 서구 청사로 27-9,042-288-5521,동 지하창고 등,-,-,-,-,-,-,1005,-,-,3,-,-,-,-,-
116,기초,대전광역시,서구,관저1동,대전광역시 서구 관저북로24,042-288-5612,청사 지하1층 창고,-,-,-,-,-,-,,-,10,3,-,-,-,-,-
117,기초,대전광역시,서구,관저2동,대전광역시 서구 관저중로82,042-288-5653,관저2동행정복지센터 청사,-,-,-,-,-,-,2278,-,30,2,-,100,-,-,-
118,기초,대전광역시,서구,탄방동,대전광역시 서구 탄방로7번길 97,042-288-5185,동행정복지센터 야외창고,-,-,-,-,-,-,,-,-,-,-,224,-,-,-
119,기초,대전광역시,서구,변동,대전광역시 서구 중반5길 133 (변동),042-288-5126,지하1층 창고,-,-,-,-,-,-,675,-,-,-,-,-,-,-,-
120,기초,대전광역시,서구,내동,대전광역시 서구 도솔로 247,042-288-5365,지하창고,-,-,-,-,-,-,781,-,-,4,-,-,-,-,-
121,기초,대전광역시,서구,도마1동,대전광역시 서구 도마3길 46,042-288-5038,지하 물품보관실 등,-,-,-,-,-,-,1126,-,-,20,-,-,-,-,-
122,기초,대전광역시,서구,정림동,대전광역시 서구 정림동로 10,042-288-5096,정림동행정복지센터,-,-,-,-,-,-,350,-,100,-,-,200,-,-,-
123,기초,대전광역시,유성구,푸른환경과,대전광역시 유성구 대학로 211,042-611-2309,유성구청 등,-,-,-,-,-,-,2,2,17,15,-,-,-,13,640
124,기초,대전광역시,유성구,건설과,대전광역시 유성구 대학로 211,042-611-2486,유성구청 등,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
125,기초,대전광역시,대덕구,환경과,대전광역시 대덕구 대전로1033번길 20,042-608-6865,수질오염방재창고,-,-,-,-,-,-,-,32,51,43,-,-,-,33,40
126,기초,대전광역시,대덕구,자원농생명과,대전광역시 대덕구 대전로1033번길 20,042-633-4303,자원순환센터,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
127,기초,대전광역시,대덕구,건설과,대전광역시 대덕구 대전로1033번길 20,042-608-5215,제설창고,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
128,기초,대전광역시,대덕구,회덕동,대전광역시 대덕구 대전로 1376,042-608-5667,회덕동 민방위 창고,-,-,-,-,-,-,762,-,-,7,-,-,-,140,-
129,기초,대전광역시,대덕구,법1동,대전광역시 대덕구 계족로663번길 36,042-608-5746,민방위 창고,-,-,-,-,-,-,651,-,-,16,-,-,-,-,-
130,기초,대전광역시,대덕구,송촌동,대전광역시 대덕구 동춘당로94번길 11,042-608-5704,송촌동 민방위창고 등,-,-,-,-,-,-,"1,098",-,-,-,-,-,-,-,-
131,기초,대전광역시,대덕구,중리동,대전광역시 대덕구 대덕구 중리남로47,042-608-5725,중리동 창고,-,-,-,-,-,-,"1,185",-,100,5,-,20,-,45,-
132,기초,대전광역시,대덕구,비래동,대전광역시 대덕구 비래동로10,042-608-5686,비래동 민방위창고,-,-,-,-,-,-,731,-,-,-,-,-,-,-,-
133,광역,대전광역시,-,농업기술센터 지도개발과,대전광역시 유성구 교촌대정로 97,042-270-6914,창고,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-
134,광역,대전광역시,-,건설관리본부 시설정비과,대전광역시 서구 둔산로 100,042-270-8891,창고,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-
135,광역,대전광역시,-,상수도사업본부 신탄진정수사업소,대전광역시 대덕구 신탄진로756번안길 223,042-715-6512,창고,-,-,-,1,-,1,30,-,-,-,-,-,-,-,-
136,광역,대전광역시,-,상수도사업본부 월평정수사업소,대전광역시 서구 신갈마로141번길 82,042-715-6412,창고,-,-,-,-,-,-,52,14,-,-,-,-,-,8,-
137,광역,대전광역시,-,상수도사업본부 수질연구소,대전광역시 대덕구 송촌로 50,042-715-6654,창고,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
138,광역,대전광역시,-,상수도사업본부 동부사업소,대전광역시 동구 동대전로 292,042-715-6654,창고,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
139,광역,대전광역시,-,상수도사업본부 대덕사업소,대전광역시 대덕구 계족산로 20,042-715-6763,창고,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-
140,광역,대전광역시,-,상수도사업본부 관리과,대전광역시 서구 신갈마로141번길 80,042-715-6053,창고,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-
141,광역,대전광역시,-,상수도사업본부 송촌정수사업소,대전광역시 대덕구 계족산로 20,042-715-6315,창고,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
142,광역,대전광역시,-,시민안전실 사회재난과,대전광역시 서구 둔산로 100,042-270-4982,창고,-,-,-,-,-,-,-,20,100,20,-,-,-,-,-
143,광역,대전광역시,-,생태하천과,대전광역시 서구 둔산로 100,042-270-5672,창고,-,-,-,-,-,-,-,-,-,-,240,-,-,3,108
144,광역,울산광역시,울산광역시,환경대기과,울산광역시 남구 중앙로 201,052-229-3212,울산시청 등,,,,,,,28,28,20,2,,,,40,0
145,광역,울산광역시,울산광역시,수목원관리사무소,울산광역시 울주군 온양읍 대운상대길 225-19,052-229-8573,울산수목원,,1,,,,,,,,,,,,,
146,기초,울산광역시,중구,환경위생과,울산광역시 중구 단장골길 1,052-290-3722,동천창고,,,,,,,5,,,,,,,,360
147,기초,울산공역시,남구,환경관리과,울산광역시 남구 돋질로 233,052-226-5762,울산 남구청 등,,,,,,,46,25,35,19,20,,60,13,66
148,기초,울산광역시,남구,환경자원과,울산광역시 남구 돋질로 233,052-226-5774,울산 남구청 등,,,2,,7,,,,,,,,,,
149,기초,울산광역시,동구,환경위생과,울산광역시 동구 봉수로 155,052-209-3562,울산 동구청 등,-,-,1,-,-,-,5,-,-,-,-,-,-,15,-
150,기초,울산광역시,북구,환경위생과,울산광역시 북구 산업로 1010,052-241-7773,울산 북구청 등,-,-,1,-,-,-,"17,049",2,2,2,-,-,-,43,234
151,기초,울산광역시,울주군,환경기후과,울산광역시 울주군 청량읍 군청로 1,052-204-2134,울주군청 지하창고,-,-,-,-,-,-,5,10,80,30,-,-,-,10,100
152,기초,울산광역시,울주군,도로과,울산광역시 울주군 청량읍 군청로 1,052-204-2444,언양창고,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
153,기초,경기도,고양시,환경정책과,경기 고양시 덕양구 고양시청로 13-5,031-8075-2645,고양시청,-,-,-,-,-,-,6,6,6,6,-,-,-,-,-
154,기초,경기도,고양시,생태하천과,경기 고양시 덕양구 고양시청로 3 충헌빌딩 3층,031-8075-2756,고양시청 등,-,-,-,-,-,-,-,-,100,10,-,-,-,"7,100개",180
155,기초,경기도,과천시,기후환경과,경기 과천시 관문로 69,02-3677-2108,과천시청,-,-,-,-,-,-,-,10,5,15,-,-,-,7,18
156,기초,경기도,광명시,환경관리과,경기 광명시 시청로 20,02-2680-2297,환경사업소 등,-,-,-,-,5,-,17978,60,60,60,-,48,-,32박스,-
157,기초,경기도,광주시,수질정책과,경기 광주시 행정타운로 50,031-760-3765,광주시청 등,-,-,-,-,-,-,8,48,8,8,100,100,100,6900/69,720
158,기초,경기도,구리시,환경과,경기 구리시 아차산로 439,031-550-2862,구리시청,-,-,-,-,-,-,9,15,14,4,-,-,-,-,-
159,기초,경기도,구리시,환경과,경기 구리시 아차산로 439,031-550-2453,구리시청,-,-,-,-,-,-,-,-,-,-,-,-,-,32박스,216
