연번,업체명,주소,대표전화,시설분류,취급가스물질,CAS번호,허가량,법정기준일,관할지사
37,(주)일성냉동,부산광역시 사하구 다대로320번길 10 (장림동),0512659790,냉동제조,암모니아,7664-41-7,295.96RT,20010710,부산광역본부
38,신아냉동(주),부산광역시 서구 등대로 117,0512435876,냉동제조,암모니아,7664-41-7,216.2RT,19970217,부산광역본부
39,(주)신우농수산,부산광역시 사하구 다대동로6번길 1 (다대동),0512634915,냉동제조,암모니아,7664-41-7,207.08RT,19970308,부산광역본부
40,부경수산(주),부산광역시 사하구 장림번영로84번길 27 (장림동),0512617322,냉동제조,암모니아,7664-41-7,52.8RT,19970331,부산광역본부
41,동일냉장(주),부산광역시 사하구 다대로170번길 10,0512041280,냉동제조,암모니아,7664-41-7,224.74RT,19970426,부산광역본부
42,현이냉동(주),부산광역시 사하구 감천항로 240 (구평동),0512646101,냉동제조,암모니아,7664-41-7,247.5RT,19960729,부산광역본부
43,신한냉동,부산광역시 사하구 장평로76번길 22 (장림동),0512630110,냉동제조,암모니아,7664-41-7,64.4RT,19960626,부산광역본부
44,(주)동원통영수산,부산광역시 사하구 감천항로 24,0512922992,냉동제조,암모니아,7664-41-7,293.2RT,19960527,부산광역본부
45,(주)대주,부산광역시 서구 암남공원로 435 (암남동),0512533400,냉동제조,암모니아,7664-41-7,481.5RT,19961023,부산광역본부
46,(주)시원물산,부산광역시 서구 암남공원로 463,0512533682,냉동제조,암모니아,7664-41-7,143.1RT,19960425,부산광역본부
47,태원콜드체인(주),부산광역시 남구 우암로 175 (우암동),0516358500,냉동제조,암모니아,7664-41-7,175.4RT,19970424,부산광역본부
48,홍림수산냉동(주),부산광역시 사하구 원양로 340,0512928896,냉동제조,암모니아,7664-41-7,469.03RT,19970819,부산광역본부
49,(주)부산냉장,부산광역시 사하구 원양로 328 (감천동),0512086242,냉동제조,암모니아,7664-41-7,216RT,19960817,부산광역본부
50,(주)부일냉장,부산광역시 사하구 을숙도대로709번길 5(신평동),0512081622,냉동제조,암모니아,7664-41-7,105.3RT,19960619,부산광역본부
51,정일글로벌(주),부산광역시 서구 원양로 243(암남동) 2층,0512533285,냉동제조,암모니아,7664-41-7,228.8RT,19971029,부산광역본부
52,보성냉장(주),부산광역시 서구 원양로 139 (암남동),0512533083,냉동제조,암모니아,7664-41-7,432.2RT,19980708,부산광역본부
53,한국과학기술원(KAIST)부설 한국과학영재학교,부산광역시 부산진구 백양관문로 105-47 (당감3동),0516062116,특고사용,암모니아,7664-41-7,5.37㎏,20210805,부산광역본부
54,주식회사 한일,부산광역시 사하구 원양로 319 (감천동),0512937500,냉동제조,암모니아,7664-41-7,251.1RT,19980203,부산광역본부
55,(주)삼성냉장,부산광역시 사하구 원양로 313 (감천동),0512043113,냉동제조,암모니아,7664-41-7,465.27RT,19980916,부산광역본부
56,동원산업(주)부산냉장센터,부산광역시 서구 원양로 147 (암남동) M층 공무실,0516001954,냉동제조,암모니아,7664-41-7,491.52RT,19991021,부산광역본부
57,동원산업(주)부산냉장센터,부산광역시 서구 원양로 147 (암남동) M층 공무실,0516001954,냉동제조,암모니아,7664-41-7,171.52RT,19991021,부산광역본부
58,(주)극동기계,부산광역시 사상구 학감대로147번길 54 (학장동),0513251161,특고사용,암모니아,7664-41-7,200㎏,20061114,부산광역본부
59,(주)화승가스테크,부산광역시 사하구 하신중앙로 44-5 (장림동),0512642080,일반판매,암모니아,7664-41-7,,20001006,부산광역본부
60,신진볼트공업사,부산광역시 사하구 하신번영로127번길 26,0512077474,특고사용,암모니아,7664-41-7,200㎏,20000628,부산광역본부
61,유림냉장주식회사,부산광역시 서구 원양로 175 (암남동),0512548333,냉동제조,암모니아,7664-41-7,250.15RT,20011005,부산광역본부
62,아시아냉장(주),부산광역시 서구 원양로 179 (암남동) 2층,0512538503,냉동제조,암모니아,7664-41-7,185.1RT,20010427,부산광역본부
63,(주)월드가스,부산광역시 사상구 가야대로64번길 35 (학장동),0513258700,일반판매,암모니아,7664-41-7,0,20011115,부산광역본부
64,태광산업사,부산광역시 강서구 녹산산단289로 32 (송정동),0518311801,특고사용,암모니아,7664-41-7,200㎏,20020412,부산광역본부
65,(주)삼락열처리,부산광역시 강서구 녹산산단17로 8 (송정동),0518317282,일반저장,암모니아,7664-41-7,4.7Ton,20040916,부산광역본부
66,월드산업가스,부산광역시 사상구 가야대로64번길 35 (학장동),0515518033,일반판매,이산화질소,10102-44-0,0,20031007,부산광역본부
67,(주)냉장인터불고제2공장,부산광역시 서구 원양로 125 (암남동),0512544881,냉동제조,암모니아,7664-41-7,363.7RT,20040824,부산광역본부
68,수협중앙회감천항물류센터,부산광역시 서구 원양로 119,0512533113,냉동제조,암모니아,7664-41-7,356.65RT,19981022,부산광역본부
69,(주)해원냉장,부산광역시 서구 원양로 67 (암남동),0512433184,냉동제조,암모니아,7664-41-7,442.1RT,20050909,부산광역본부
70,성진수산(주),부산광역시 서구 원양로 87 (암남동),0512317907,냉동제조,암모니아,7664-41-7,434.9RT,20060929,부산광역본부
71,사조씨푸드(주) 물류센타,부산광역시 서구 원양로 71 (암남동) 16층 공무팀,07043610516,냉동제조,암모니아,7664-41-7,569RT,20060127,부산광역본부
72,부산열처리,부산광역시 사상구 사상로447번길 68 일성테크,0513015547,특고사용,암모니아,7664-41-7,100㎏,20061129,부산광역본부
73,(주)PSG(피에스지),부산광역시 강서구 과학산단2로19번길 200 (지사동),0517900951,일반제조,암모니아,7664-41-7,14.24Ton,20070319,부산광역본부
74,(주)PSG(피에스지),부산광역시 강서구 과학산단2로19번길 200 (지사동),0517900951,일반제조,암모니아,7664-41-7,63.83Ton,20070319,부산광역본부
75,주식회사 한일 제2공장,부산광역시 사하구 원양로 314 (감천동),0512934020,냉동제조,암모니아,7664-41-7,392.1RT,20070627,부산광역본부
76,주식회사 한일 제2공장,부산광역시 사하구 원양로 314 (감천동),0512934020,냉동제조,암모니아,7664-41-7,35.35RT,20170519,부산광역본부
77,극동정밀,부산광역시 수영구 수영로 455 소니서비스센타(4층),0516216434,특고사용,암모니아,7664-41-7,100㎏,20061205,부산광역본부
78,사조씨푸드(주)제2물류센타,"부산광역시 서구 원양로 79(암남동), 9층",0512578700,냉동제조,암모니아,7664-41-7,216.2RT,20070829,부산광역본부
79,(주)보림로지스틱스부산냉장,부산광역시 서구 원양로 73 (암남동),0512311500,냉동제조,암모니아,7664-41-7,216.2RT,20070830,부산광역본부
80,부산감천항수산물시장(주),"부산광역시 서구 원양로 35 (암남동,시장회관동8층)",0512208000,냉동제조,암모니아,7664-41-7,465.5RT,20080220,부산광역본부
81,(주)이스턴웰스,부산광역시 서구 원양로 189,0512319000,냉동제조,암모니아,7664-41-7,98.2RT,20070607,부산광역본부
82,성화금속열처리,부산광역시 사하구 신산북로 70,0513055441,특고사용,암모니아,7664-41-7,50㎏,20140509,부산광역본부
83,제일에스엘산업(주),부산광역시 사하구 암남공원로 471(감천동),0512911751,냉동제조,암모니아,7664-41-7,181RT,20080212,부산광역본부
84,해동산업 주식회사,부산광역시 사상구 낙동대로 1052 (감전동),0513120770,특고사용,암모니아,7664-41-7,200㎏,20200116,부산광역본부
85,한국해양대학교,부산광역시 영도구 태종로 727 (동삼동),0514104096,특고사용,암모니아,7664-41-7,50㎏,20221110,부산광역본부
86,(주)동남,부산광역시 서구 원양로 171 (암남동),0512507078,냉동제조,암모니아,7664-41-7,317RT,19980517,부산광역본부
87,삼천리열처리테크(주),부산광역시 사하구 홍티로 115 (다대동),0513043004,특고사용,암모니아,7664-41-7,800㎏,20110311,부산광역본부
88,(주)신도정밀,부산광역시 사하구 보덕포1길 99 (장림동),0518320235,특고사용,암모니아,7664-41-7,150㎏,20110317,부산광역본부
89,한국생산기술연구원,부산광역시 강서구 미음산단5로41번길 16 (미음동),0519749302,특고사용,암모니아,7664-41-7,168㎏,20210830,부산광역본부
90,미래열처리,부산광역시 강서구 생곡산단2로11번길 34,0512638700,특고사용,암모니아,7664-41-7,200㎏,20150615,부산광역본부
91,(주)하트만,부산광역시 강서구 낙동남로533번길 55(녹산동),0512648829,특고사용,암모니아,7664-41-7,200㎏,20151126,부산광역본부
92,(주)삼락열처리 미음지점,부산광역시 강서구 미음산단1로15번길 25(구랑동),0519737282,일반저장,암모니아,7664-41-7,4.9Ton,20160308,부산광역본부
93,(주)우진테크,부산광역시 사하구 신산로 60 (신평동),0512022641,일반판매,R600a,75-28-5,0,20170412,부산광역본부
94,부곡스텐레스,부산광역시 강서구 미음국제7로 5 (미음동),0519738081,특고사용,암모니아,7664-41-7,848㎏,20190711,부산광역본부
95,동서열처리 주식회사 (미음지점),부산광역시 강서구 미음산단3로 5 (미음동),0513047321,특고사용,암모니아,7664-41-7,830.65㎏,20211230,부산광역본부
96,(주)파나시아 2공장,부산광역시 강서구 미음국제3로 98,07048607960,일반제조,암모니아,7664-41-7,304.32N㎥/day,20220616,부산광역본부
97,(주)파나시아 2공장,부산광역시 강서구 미음국제3로 98,07048607960,일반제조,암모니아,7664-41-7,4.902Ton,20220616,부산광역본부
98,(주)파나시아 2공장,부산광역시 강서구 미음국제3로 98,07048607960,일반제조,암모니아,7664-41-7,2.4Ton/day,20220616,부산광역본부
99,해동중공업주식회사,부산광역시 사상구 낙동대로1048번길 7 (감전동),0513120770,특고사용,암모니아,7664-41-7,200㎏,20220509,부산광역본부
100,(주)월드스페셜티,부산광역시 강서구 녹산산단165로14번길 11-14(송정동),0519726448,특고사용,염소,7782-50-5,59㎏,20230315,부산광역본부
101,(주)MS가스 사하영업소,부산광역시 사하구 원양로 391 (감천동),,일반충전,암모니아,7664-41-7,18.68Ton,,부산광역본부
102,부경대학교 산학협력단,부산광역시 남구 신선로 365 (용당동) 11관 3층(306호),0516296342,특고사용,암모니아,7664-41-7,56㎏,20231215,부산광역본부
103,부경대학교 산학협력단,부산광역시 남구 신선로 365 (용당동) 11관 3층(306호),0516296342,특고사용,모노실란,7803-62-5,7.05㎥,20231215,부산광역본부
104,원주시상하수도사업소(수도운영과),강원특별자치도 원주시 우산로 323 (우산동) 원주시상하수도사업소 수도과,0337374246,일반저장,염소,7782-50-5,9Ton,19970313,강원광역본부
105,롯데웰푸드㈜,강원특별자치도 횡성군 안흥면 봉화로 790,0333406535,냉동제조,암모니아,7664-41-7,180.12RT,19961228,강원광역본부
106,롯데웰푸드㈜,강원특별자치도 횡성군 안흥면 봉화로 790,0333406535,냉동제조,암모니아,7664-41-7,78.4RT,19970627,강원광역본부
107,강원대학교,강원특별자치도 춘천시 강원대학길 1 (효자동),0332507068,특고사용,암모니아,7664-41-7,32㎏,20231124,강원광역본부
108,강원대학교,강원특별자치도 춘천시 강원대학길 1 (효자동),0332507068,특고사용,암모니아,7664-41-7,5.38㎏,20241107,강원광역본부
109,㈜피피이씨춘천(얼음),강원특별자치도 춘천시 서면 당숲안길 157,0332601835,냉동제조,암모니아,7664-41-7,272.6RT,20110503,강원광역본부
110,㈜피피이씨춘천(얼음),강원특별자치도 춘천시 서면 당숲안길 157,0332601835,냉동제조,암모니아,7664-41-7,167.09RT,20231222,강원광역본부
111,하이트진로㈜강원공장,강원특별자치도 홍천군 북방면 도둔길 49,0334308565,냉동제조,암모니아,7664-41-7,2208.7RT,19970515,강원광역본부
112,하이트진로㈜강원공장,강원특별자치도 홍천군 북방면 도둔길 49,0334308565,냉동제조,암모니아,7664-41-7,160RT,,강원광역본부
113,㈜해성화공,강원특별자치도 횡성군 우천면 정포로 234,0333443448,일반충전,암모니아,7664-41-7,25Ton,19981123,강원광역본부
114,㈜국순당,강원특별자치도 횡성군 둔내면 강변로 975,0333404373,냉동제조,암모니아,7664-41-7,130.26RT,20040707,강원광역본부
115,㈜피피이씨춘천(본사),강원특별자치도 춘천시 서면 당숲안길 157,0332601802,냉동제조,암모니아,7664-41-7,59RT,20030421,강원광역본부
116,㈜피피이씨춘천(본사),강원특별자치도 춘천시 서면 당숲안길 157,0332601802,냉동제조,암모니아,7664-41-7,59RT,20030421,강원광역본부
117,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,일산화질소,10102-43-9,0,20150430,강원광역본부
118,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,염화수소,7647-01-0,0,20150430,강원광역본부
119,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,육불화텅스텐,7783-82-6,0,20150430,강원광역본부
120,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,황화수소,7783-06-4,0,20150430,강원광역본부
121,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,아황산가스,7446-09-5,0,20150430,강원광역본부
122,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,브롬화수소,10035-10-6,0,20150430,강원광역본부
123,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,불화수소,7664-39-3,0,20150430,강원광역본부
124,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,염소,7782-50-5,0,20150430,강원광역본부
125,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,일산화질소,10102-43-9,0,20150430,강원광역본부
126,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,아황산가스,7446-09-5,0,20150430,강원광역본부
127,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,산화에틸렌,75-21-8,0,20150430,강원광역본부
128,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,암모니아,7664-41-7,0,20150430,강원광역본부
129,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380,0337316644,일반판매,일산화탄소,630-08-0,0,20150430,강원광역본부
130,한국가스안전공사 에너지안전실증연구센터,강원특별자치도 영월군 주천면 송학주천로 1467-51,0338342543,특고사용,암모니아,7664-41-7,54.301㎏,20210928,강원광역본부
131,경원산소㈜제2영업소,강원특별자치도 원주시 호저면 호매곡1길 82,0337310202,일반판매,암모니아,7664-41-7,0,20190902,강원광역본부
132,삼양제분㈜,강원특별자치도 원주시 우두산길 56 (우산동),0338131913,냉동제조,암모니아,7664-41-7,59.08RT,20250820,강원광역본부
133,삼성산소(주),충청북도 청주시 흥덕구 강내면 상월곡길 10 ㈜삼성산소,0432326237,일반판매,사불화메탄,75-73-0,0,20000910,충북본부
134,삼성산소(주),충청북도 청주시 흥덕구 강내면 상월곡길 10 ㈜삼성산소,0432326237,일반판매,암모니아,7664-41-7,0,20000910,충북본부
135,동서식품(주),충청북도 진천군 광혜원면 광혜원산단2길 78-11 (주)동서식품,0435305594,냉동제조,암모니아,7664-41-7,88.6RT,20080915,충북본부
136,(주)보림로지스틱스청주냉장,충청북도 청주시 흥덕구 옥산면 오송가락로 834,0432604011,냉동제조,암모니아,7664-41-7,254.24RT,19961120,충북본부
137,오비맥주(주)청주공장,충청북도 청주시 서원구 현도면 현도공단로 151,0432794864,냉동제조,암모니아,7664-41-7,550.65RT,20200203,충북본부
138,오비맥주(주)청주공장,충청북도 청주시 서원구 현도면 현도공단로 151,0432794864,냉동제조,암모니아,7664-41-7,3178.33RT,20131119,충북본부
139,(주)유니온케미칼청주공장,충청북도 청주시 흥덕구 직지대로436번길 42,0432664001,일반저장,암모니아,7664-41-7,23.11Ton,19960902,충북본부
140,(주)유니온케미칼청주공장,충청북도 청주시 흥덕구 직지대로436번길 42,0432664001,특고사용,암모니아,7664-41-7,23000㎏,,충북본부
141,태경에코(주),충청북도 청주시 청원구 내수읍 풍정길 26,0432133450,일반판매,일산화질소,10102-43-9,0,20000125,충북본부
142,한국야금(주),충청북도 진천군 광혜원면 광혜원산단2길 54 한국야금(주),0435350141,일반저장,일산화탄소,630-08-0,20.88㎥,20081027,충북본부
143,한국야금(주),충청북도 진천군 광혜원면 광혜원산단2길 54 한국야금(주),0435350141,일반저장,삼염화붕소,10294-34-5,.44Ton,20081027,충북본부
144,한국야금(주),충청북도 진천군 광혜원면 광혜원산단2길 54 한국야금(주),0435350141,일반저장,황화수소,7783-06-4,.06Ton,20081027,충북본부
145,한국야금(주),충청북도 진천군 광혜원면 광혜원산단2길 54 한국야금(주),0435350141,일반저장,염화수소,7647-01-0,.338Ton,20081027,충북본부
146,(주)창성,충청북도 청주시 청원구 내수읍 청암로 302,0432138801,특고사용,암모니아,7664-41-7,750㎏,20000929,충북본부
147,하이트진로(주)청주공장,충청북도 청주시 서원구 현도면 현도공단로 177,0432701830,냉동제조,암모니아,7664-41-7,126RT,19960820,충북본부
148,(주)동아오츠카,충청북도 청주시 흥덕구 직지대로516번길 39,0432619114,냉동제조,암모니아,7664-41-7,310.6RT,19990219,충북본부
149,(주) 팜스토리 한냉(스팀제조),충청북도 청주시 청원구 오창읍 성재2길 21,0432104251,냉동제조,암모니아,7664-41-7,1401.4RT,19970312,충북본부
150,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,AsH3,7784-42-1,.088Ton,20131013,충북본부
151,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,0.1%PH3/N2,7803-51-2,28.4㎥,20131013,충북본부
152,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,염소,7782-50-5,2.27Ton,20131013,충북본부
153,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,4%PH3/He,7803-51-2,139.4㎥,20131013,충북본부
154,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,5%HCI/Ne,7647-01-0,28.4㎥,20131013,충북본부
155,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,NH3,7664-41-7,3.793Ton,20131013,충북본부
156,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,CO,630-08-0,1020.96㎥,20131013,충북본부
157,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,NO,10102-43-9,681.6㎥,20131013,충북본부
158,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,B2H6(0.1%)/H2,19287-45-7,354.24㎥,20131013,충북본부
159,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,B2H6(5%)/N2,19287-45-7,553㎥,20131013,충북본부
160,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,B2H6(15%)/H2,19287-45-7,27.68㎥,20131013,충북본부
161,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,F2(1%)/Ar(3.5%)/Ne,7782-41-4,384.42㎥,20131013,충북본부
162,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,F2(1%)/He/Ar/kr/Ne,7782-41-4,69.2㎥,20131013,충북본부
163,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,1%PH3/He,7803-51-2,103.5㎥,20131013,충북본부
164,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,Si2H6,1590-87-0,216㎥,20131013,충북본부
165,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,BF3/H2,7637-07-2,20.4㎥,20131013,충북본부
166,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,1%PH3/N2,7803-51-2,55.68㎥,20131013,충북본부
167,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,PH3,7803-51-2,8.25㎥,20131013,충북본부
168,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,BF3,7637-07-2,.304Ton,20131013,충북본부
169,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,특고사용,염소,7782-50-5,25.65㎏,20210708,충북본부
170,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,특고사용,염소,7782-50-5,26.25㎏,20200708,충북본부
171,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,특고사용,암모니아,7664-41-7,80㎏,20220523,충북본부
172,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,5%PH3/He,7803-51-2,76.8㎥,,충북본부
173,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,PH3,7803-51-2,8.5㎥,,충북본부
174,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,Si2H6,1590-87-0,213㎥,,충북본부
175,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,75%BF3/25%H2,7637-07-2,5.1㎥,,충북본부
176,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,BF3,7637-07-2,.095Ton,,충북본부
177,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,5%B2H6/N2,19287-45-7,266㎥,,충북본부
178,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,10%PH3/H2,7803-51-2,69.9㎥,,충북본부
179,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,0.1%PH3/N2,7803-51-2,28.4㎥,,충북본부
180,에스케이하이닉스(주)-1공장,충청북도 청주시 흥덕구 대신로 215 하이닉스반도체,0439073463,일반저장,5%B2H6/N2,19287-45-7,568㎥,,충북본부
