연번,구분,업소명,소재지,대표전화,대상폐기물
22,종합재활용,에스엠(SM)환경산업,경북 구미시 장천면 학신로 278-11(구. 장천면 신장리 71),054-471-7825,"폐유독물(플라스틱용기),폐유기용제(플라스틱용기)"
23,종합재활용,㈜덕성,경북 영천시 채신1공단길 40-5(구. 영천시 채신동 588),054-336-4342,"폐수처리오니, 금속성폐촉매, 분진, 그 밖의 광재, 그 밖의 공정오니"
24,종합재활용,㈜뉴리소스,경북 경산시 자인면 일연로 130(구. 자인면 북사리 52-7),053-710-0714,"(04-02-00) 그 밖의 폐유기용제, (06-01-99) 그 밖의 폐광물유, (06-03-00) 그 밖의 폐유"
25,종합재활용,세일환경유통,경북 칠곡군 약목면 교8길 113-20(구. 약목면 교리 474),054-975-3100,"폐유(폐오일휠터, 기름걸레, 장갑 등)"
26,종합재활용,㈜주성오일[구.호경산업영천공장],경북 영천시 도남공단2길 4,054-337-5211,폐유(폐규조토)
27,종합재활용,㈜광태산업,경북 경주시 외동읍 모화공단길 125-60(구. 외동읍 모화리 50-66),054-774-8334,"폐페인트(아연함유), 공정오니(아연 함유), 동광재, 동분진, 아연분진"
28,종합재활용,㈜삼한알엔텍,경북 영천시 채신1공단길 60-8,054-338-5584,"폐유기용제(할로겐족, 그 밖의 폐유기용제)"
29,종합재활용,소니드리텍㈜,경북 고령군 대가야읍 장기공단1길 46-20(구. 대가야읍 장기리 284-1),054-956-5071,"납함유된 광재, 공정오니, 폐산(폐밧데리)"
30,종합재활용,㈜서원금속,대구시 달성군 논공읍 비슬로262길 75-16(논공읍 상리 682-1),053-614-0316,"공정오니(은함유), 폐페인트"
31,종합재활용,신성비철산업,"대구시 동구 안심로65길 10, 안심로 347(구.  동구 각산동 298-2)",053-963-8877,"절연유의 PCBs 농도가 2㎎/L 미만 함유된 폐변압기, 폐유가 5% 이상 묻은 폐콘덴서
절연유의 PCBs 농도가 2㎎/ℓ 미만 함유된 OF케이블류"
32,종합재활용,㈜성은 구미공장,경북 구미시 1공단로 10길 53-24,054-461-8147,"폐산(염산,황산,기타폐산)"
33,종합재활용,대건,경북 경산시 자인면 금박로 177,053-857-5192,"폐유(산업유,내연기관유)"
34,종합재활용,㈜유림케미칼,경북 경산시 압량면 의송길27길 21,053-818-5402,"폐유(수지,철용기류),폐유기용제(수지)"
35,종합재활용,㈜세신머티리얼즈,경북 칠곡군 북삼읍 칠곡대로 309-9(북삼읍 어로리 743-27),054-975-9228,폐유기용제(반도체 웨이퍼 절단공정에서 발생한 SiC함유 폐유기용제)
36,종합재활용,㈜대흥에스지,대구시 달성군 논공읍 논공로69길 48(구. 논공읍 본리리 29-82),053-615-0500,"폐페인트(고상), 공정오니(고상), 폐유(절연유의 PCBs 농도가 2㎎/L 미만 함유된 폐변압기)"
37,종합재활용,㈜청우리텍 경주지점(구.(주)우종),경북 경주시 내남면 내외로 1078-16(구. 내남면 명계리 63-4),054-748-4600,"금속성폐촉매, 그 밖의 폐유독물질"
38,종합재활용,호경산업,경북 경산시 진량읍 두안길 9(구. 진량읍 선화리 201),053-851-0731,"폐산(폐염산, 폐황산, 기타폐산)"
39,종합재활용,비젼테크놀러지㈜,경북 칠곡군 약목면 경호천동길 62-18(구. 약목면 복성리 375-4),054-975-2034,폐유기용제
40,중간재활용,대신테크,대구시 북구 팔달북로8길 84(구. 북구 노원동 3가 214),053-359-0611,폐변압기(절연유 PCBs 농도가 2㎎/L 미만 함유)
41,종합재활용,㈜형제케미칼,경북 영천시 도남공단1길 33(구. 영천시 도남동 618-1),054-335-5091,"폐황산, LC반도체 공정의 폐산"
42,종합재활용,"한일정유㈜(구.한일정유㈜경산공장, ㈜프리텍, ㈜현일유화)",경북 경산시 자인면 자인공단로 50(북사리 1087-8),053-856-8672,"폐유(윤활유, 산업유, 선박유, 내연기관유 등 재활용 가능한 액상 폐유)"
43,종합재활용,대한정밀화학㈜,경북 경산시 자인면 자인공단로 71-7,053-856-4230,폐유기용제(액상)
44,종합재활용,대한민국상이군경회 대구사업소,대구시 동구 안심로 65길 10,053-963-2235,"폐유(절연유의 PCBs 농도가 2㎎/L 미만 함유된 폐변압기), 폐유가 5% 이상 함유된 폐전선"
45,종합재활용,㈜국제금속,경북 영천시 금호읍 오계공단길 1-61,054-338-6622,"폐산 함유 폐배터리, 납 함유 광재, 공정오니"
46,종합재활용,(주)그린월드,경북 영천시 도남공단3길 2-1(구. 영천시 도남동 283-2),054-333-5934,"폐염산, 폐황산, 기타폐산"
47,종합재활용,㈜성은,경북 칠곡군 북삼읍 외율5길 121-12(구. 북삼읍 율리 769-9),054-972-8147,"폐산(폐염산, 폐황산, 기타폐산), 폐알카리"
48,종합재활용,"(사)한국장애인단체총연맹 김해지점(구,(사)행복한오늘, ㈜천호금속(구, (사)장애인자립지원협회)",경북 경산시 진량읍 문천길 166(구. 진량읍 문천리 478-11),053-857-6488,폐유(절연유의 PCBs 농도가 2㎎/L 미만 함유된 폐변압기)
49,종합재활용,"㈜배터리솔루션즈(구.㈜세기리텍, ㈜아미커스메탈)",경북 영천시 금호읍 오계공단길 1-67,054-334-8383,폐황산이 포함된 2차폐축전지
50,중간재활용,남양캐미칼,경북 영천시 칠백로 808-3,054-333-3047,"폐유기용제(할로겐족 및 기타, 액상), 폐페인트(비할로겐족 유기용제가 함유된 유성페인트)"
51,종합재활용,스틸싸이클(주)(구.㈜징크옥사이드코퍼레이션),경북 경주시 천북면 천북산단로 1길 8-65,054-778-7611,"전기로 제강분진, 그 밖의 공정오니"
52,종합재활용,"사회복지법인 대한장애인
복지회",경북 칠곡군 왜관읍 공단로4길 45-13(금산리 993-8),054-975-8530,"폐유(절연유의 PCBs 농도가 2㎎/L 미만 함유된 폐변압기, 5% 이상 폐유 함유 폐용접기)"
53,종합재활용,㈜에스피켐텍,경북 영천시 금호읍 도남공단1길 5-35(구암리 576-2),054-332-1191,"폐산(폐염산, 폐황산, 기타폐산), 그 밖의 공정오니"
54,중간재활용,"㈜천호금속(구.대한민국상이군경회 경산공장, ㈜천호금속)",경북 경산시 진량읍 문천길 166,053-857-6488,젤리충전통신케이블(기름성분 5% 이상 함유)
55,종합재활용,㈜세화정유,경북 영천시 금호읍 칠백로 746,054-331-7403,폐유(액상)
56,종합재활용,(주)클린솔루션(구.(주)에스이텍 김천지점),경북 김천시 어모면 은림로 50-14,041-523-1056,"폐유기용제(Si, SiC, 유기용제), 공정오니(Si)"
57,종합재활용,㈜벧엘산업 성주지점,경북 성주군 초전면 주천로 308,054-933-3350,"그 밖의 폐광물유(고상, 기름성분을 5%이상 함유한 폐합성수지 : 더블유 스코프 코리아(주), 2공장 및 도레이 배터리 세퍼레이터 필름 한국 유한회사, 더블유씨피(주), SK아이이테크놀러지(주) 증평공장·청주공장에서 배출되는 그 밖의 폐광물유 한함)"
58,종합재활용,"베페사징크코리아(주)(구, 한국알엔엠㈜)",경북 경주시 천북면 천북산단로 265-15,054-750-9721,전기로 제강분진
59,종합재활용,㈜SIMPAC 포항1공장,경북 포항시 남구 괴동로 153,054-271-8733,"성형분진(단광(조개탄), 환단광(pellet))"
60,종합재활용,동일산업㈜,경북 포항시 남구 괴동로 112,054-288-7700,분진
61,종합재활용,㈜뉴에코,경북 영천시 고경면 거곡로 227-26,054-336-3200,"폐유(철용기류, 수지용기류), 폐유기용제(수지용기류)"
62,종합재활용,에스켐텍㈜,경북 경주시 안강읍 두류길 100-39,054-763-7100,"그 밖의 폐합성고분자화합물, 그 밖의 공정오니, 그 밖의 폐유
그 밖의 폐합성고분자화합물"
63,종합재활용,㈜오성케미칼,경북 영천시 금호읍 금창로 208-214,054-332-5568,"폐페인트(액상, 고상)"
64,종합재활용,㈜퓨릿 제1공장,경북 경주시 안강읍 두류길 249-278,054-701-2533,그 밖의 폐유기용제
65,종합재활용,㈜황조,경북 경주시 안강읍 두류길 149,054-742-1773,제강분진(아연함유)
66,종합재활용,아이에스에코솔루션㈜(구. 아이에스티엠씨㈜)(구. 타운마이닝캄파니㈜),경북 구미시 1공단로 216(공단동),054-462-6117,"폐유독물질(폐전지류, 산화코발트리튬니켈망간혼합물, 방전폐전지)"
67,종합재활용,동호테크,경북 구미시 산동읍 동백로 243,054-474-2245,수은함유 폐램프
68,종합재활용,주식회사 엠아이켐(M.I.Chem.)(구. ㈜녹색에너텍),경북 경주시 안강읍 두류길 206,054-763-6945,"폐유(액상), 폐유기용제(액상, 할로겐족.그 밖의 폐유기용제), 폐페인트"
69,종합재활용,㈜리너텍,경북 경산시 자인면 금박로 179,053-854-7167,폐유(액상)
70,종합재활용,주식회사 디케이온,경북 경주시 안강읍 두류길 219,054-763-2464,폐유기용제(SiC함유)
71,종합재활용,"㈜세화이에스(구, ㈜세화브이엘, ㈜세화이앤에프)",경북 구미시 3공단3로 196-5,054-473-5757,"(액상) 폐산, 폐알칼리, (고상) 오니류(폐수처리오니, 그 밖의 공정오니), 분진"
72,종합재활용,케이에스피코리아㈜,경북 포항시 남구 오천읍 송덕로 222,054-286-7230,폐유독물질(폐연료전지)
73,중간재활용,㈜수린철강,경북 경주시 외동읍 관문로 940,054-741-9722,폐유(절연유의 PCBs 농도가 2㎎/L 미만 함유된 폐변압기)
74,종합재활용,㈜비씨에너지,경북 경주시 외동읍 개곡공단길 128,054-748-5960,"폐유(액상, 60톤/일), 폐윤활유(액상, 20톤/일), 폐유기용제, 폐페인트 및 폐락카"
75,종합재활용,"㈜보성산업환경(구.㈜보성산업, 상보)",경북 구미시 장천면 신장1길 75,054-474-1981,"폐유(고상, 기름성분을 5%이상 함유한 폐합성수지)"
76,종합재활용,㈜엔코,"경북 칠곡군 약목면 칠곡대로 472-6,12,13,14",054-975-1050,"LCD, 반도체 공정의 폐산(액상), 그 밖의 폐산(액상)"
77,종합재활용,삼승㈜,"경북 경주시 안강읍 두류길 218-12(426-1, 426-2, 420-9)",054-763-7220,"폐유, 폐동식물유,그 밖의 폐유, 그 밖의 폐유기용제"
78,종합재활용,"양정산업㈜ 경주지점(구, 선일이앤알㈜ 경주지점",경북 경주시 안강읍 두류길 218-96,054-763-0581,"LCD·반도체 공정의 폐산, ,그 밖의 폐산, 분진"
79,종합재활용,㈜새빗켐2공장,경북 김천시 공단1길 11-54,054-431-3586,폐유독물(2차전지 및 2차전지 분쇄물)
80,종합재활용,(주)씨켐,경북 고령군 개진면 개진산단길 40-47,054-956-8841,"폐유(액상), 폐유기용제(액상)"
81,종합재활용,㈜세원케미칼,경북 칠곡군 약목면 교8길 113-19,별도문의,"폐산(폐황산, LCD·반도체 공정폐산, 그 밖의 폐산)"
82,종합재활용,리코씰㈜,경북 칠곡군 약목면 교8길 50-12,054-973-2999,그 밖의 폐유기용제(SiC함유)
83,종합재활용,㈜지엠텍,경북 김천시 어모면 산업단지4로 89-25,054-472-0054,그 밖의 폐유독물질[폐전지류] (고상)
84,종합재활용,㈜승헌,경북 경주시 강동면 강동산단로1길 86-39,054-763-6684,"금속성폐촉매[고상], 그밖의 공정오니(무기성)[고상], 폐수처리오니(고상)"
85,종합재활용,㈜윈켐 경산지점,경북 경산시 자인면 단북길 19-9,별도문의,그밖의 폐유기용제(액상)
86,종합재활용,㈜대성디앤아이,경북 칠곡군 북삼읍 경호천서길 92,054-972-7816,"그밖의 폐유기용제, 폐유, 폐유기용제, 폐알칼리, 폐산(액상)[용기류]"
87,종합재활용,㈜에코프로씨엔지,경북 포항시 북구 흥해읍 영일만산단남로 3,054-720-3826,그 밖의 폐유독물질[폐전지류] (고상)
88,종합재활용,㈜플레이그라운드,경북 칠곡군 약목면 교8길 80-7,054-973-8565,"폐유(액상), 그 밖의 폐유기용제(액상)"
89,종합재활용,㈜엔나노텍,경북 경주시 외동읍 제내1공단길 20,070-7736-3700,"그 밖의 폐산, 금속성 폐촉매"
90,종합재활용,㈜카본엑스리사이클링(김천공장)(변경전 한길산업),경북 김천시 어모면 산업단지4로 70,054-437-7900,"폐유독물질[폐전지류(극판, 배터리)]"
91,종합재활용,"(사복)대한민국보훈복지재단(구, ㈜금백테크)",대구 달성군 논공읍 비슬로 264길 56,053-617-5011,폐절연유(절연유에 대한 PCBs농도 2mg/L미만 함유 폐변압기)
92,종합재활용,㈜두손화학,경북 경주시 외동읍 제내1공단길 37-9,070-4639-4897,그 밖의 폐산(Zn성분을 포함한 폐산)
93,종합재활용,사단법인 순환자원과 함께하는 사람들 환경사업소,대구 달성군 논공읍 비슬로 264길 77,별도문의,폐절연유(절연유에 대한 PCBs농도 2mg/L미만 함유 폐변압기)
94,최종재활용,㈜엔케이합금메탈,경북 경주시 건천읍용명공단길 173-120,054-716-2118,폐황산이 포함된 2차폐축전지
95,종합재활용,㈜오르타머티리얼즈,경북 구미시 장천면 하장2길 274-13,032-433-3694,"(R-3-1) (01-02-99) 그 밖의 공정오니
(R-10) (09-03-00) 그 밖의 폐유독물질, (03-01-99) 그 밖의 광재, (03-02-00) 분진"
96,종합재활용,수림 ENG,대구광역시 서구 팔달로2길 69,별도문의,(06-01-03) 폐기계유·페작동유
97,종합재활용,㈜수영하이텍,대구 달성군 논공읍 논공로 390,053-710-2580,"(02-01-01·02·99) 폐염산, 폐황산, 그 밖의 폐산 
 (02-02-01·99) 폐가성소다수, 그 밖의 폐알칼리"
98,종합재활용,㈜알씨텍,경북 칠곡군 약목면 경호천동길 74 외 84-30,054-977-3090,"(02-01-02·03·99) 폐황산, 폐질산, 그 밖의 폐산
(02-02-99) 폐알칼리"
99,종합재활용,제이에이치화학공업㈜,경북 김천시 어모면 산업단지1로 83,054-421-1700,(09-03-00) 그 밖의 폐유독물질
100,종합재활용,부건산업,경북 칠곡군 가산면 송신로 282-7,별도문의,"(02-01-99) 그 밖의 폐산, (02-02-99) 그 밖의 폐알칼리, (04-02-00) 그 밖의 폐유기용제, (06-03-00) 그 밖의 폐유"
101,종합재활용,㈜하이그린,경북 김천시 남면 영남대로 3123-12,054-434-5999,"(02-01-02·05·99) 폐황산, LCD·반도체 공정의 폐산, 그 밖의 폐산"
102,종합재활용,에너지머티리얼즈㈜,경북 포항시 북구 흥해읍 용한리 810-14,054-727-8583,(09-03-00) 그 밖의 폐유독물질
103,종합재활용,네이처이앤티㈜이차전지지점,경북 포항시 남구 대송면 철강산단로130번길 177,054-271-3195,(09-03-00) 그 밖의 폐유독물질
104,종합재활용,㈜티앤에스,경북 칠곡군 석적읍 3공단2로 5,054-975-1050,"(02-01-06) 폐황산이 포함된 2차 폐축전지, (01-02-99) 그 밖의 공정오니,  (09-03-00) 그 밖의 폐유독물질"
105,종합재활용,㈜엔다이브,경북 포항시 북구 흥해읍 영일만산단로118번길 131,054-223-2580,(09-03-00) 그 밖의 폐유독물질
106,종합재활용,㈜페트로마인코리아,경북 칠곡군 북삼읍 어로4길 74-3,054-973-1888,(09-03-00) 그 밖의 폐유독물질
107,종합재활용,㈜연산케미칼,경북 경주시 천북면 천강로 295-126,054-776-1425,(09-03-00) 그 밖의 폐유독물질
108,종합재활용,㈜씨엠텍코리아,경북 경주시 서면 대경로 3247-9,054-700-9220,"(02-01-99) 그 밖의 폐산, (01-02-01) 폐수처리오니, (01-02-99) 그 밖의 공정오니(폐페인트 고상·분말), (03-02-00) 분진, (03-07-01) 금속성 폐촉매"
109,종합재활용,엠에스케미칼,대구광역시 달성군 논공읍 비슬로 1331-22(상리 1425),053-710-2188,"(06) 폐유, (04-02-00) 그 밖의 폐유기용제, (05-01-00) 폐유성페인트"
110,최종재활용,㈜바이텍,경북 경주시 안강읍 두류길 132,054-762-9949,(02-01-06) 폐황산이 포함된 2차폐축전지
111,중간재활용,㈜가야인더스트리,"경북 고령군
대가야읍
장기공단2길 22",054-954-9335,(02-01-06) 폐황산이 포함된 2차폐축전지
112,종합재활용,㈜고려엠텍,대구광역시 달성군 논공읍 비슬로 264길 46-11 외 46-5,054-954-9335,(02-01-06) 폐황산이 포함된 2차폐축전지
113,수집운반,(주)서광기업,대구시 달성군 화원읍 비슬로 2394,053-561-0790,지정폐기물(고상)
114,수집운반,(주)가람환경산업,경북 포항시 남구 오천읍 문덕로64번길 33,054-293-0110,"지정폐기물(액,고상)"
115,수집운반,(주)태흥환경개발,"경북 구미시 장천면 신장리 626-5, 1, 11",054-475-2288,"지정폐기물(액,고상)"
116,수집운반,신성유통,경북 영천시 금호읍 오계공단길 28,054-332-3402,"지정폐기물(액,고상)"
117,수집운반,금강환경(주),경북 포항시 남구 연일읍 남성길1번길 66,054-285-9277,"지정폐기물(액,고상)"
118,수집운반,(주)면강,"경북 포항시 남구 오천읍 냉천로 540, 미광에너지 2층",054-278-1700,"지정폐기물(액,고상)"
119,수집운반,세일환경유통,경북 칠곡군 약목면 교8길 113-20(구. 약목면 교리 474),054-975-3100,"지정폐기물(액,고상)"
120,수집운반,(주)녹색환경,경북 경주시 안강읍 두류길 178-12,054-762-6224,"지정폐기물(액,고상)"
121,수집운반,(주)남부써비스,경북 경산시 압량읍 신월길 37 (신월리),053-817-3396,폐유(액상)
122,수집운반,(주)민심산업,경북 고령군 다산면 나정길 26 (나정리),054-956-6879,"지정폐기물(액,고상) : 폐유,폐유기용제,폐페인트"
123,수집운반,㈜자연환경(구. ㈜자연과미래),경북 영천시 도남공단3길 2,054-336-5200,"지정폐기물(액,고상)"
124,수집운반,(주)성진티에스,"경북 포항시 남구 효성로 70-20, 2층",054-272-8190,"지정폐기물(고상) : 분진,소각재,폐주물사 및 샌드브라스트, 폐페인트"
125,수집운반,(주)지에스아이,경북 경산시 와촌면 금송로 87길 44,053-853-5511,"지정폐기물 액상(폐유, 폐유기용제, 폐페인트, 폐락카, 폐산, 폐알칼리, 폐합성고분자화합물, 폐유독물, 폐농약, 광재)
고상(폐수처리오니, 폐유, 폐농약, 공정오니, 분진, 폐페인트, 폐락카, 폐석면, 폐주물사 및 폐사, 소각재, 폐촉매, 폐내화물 및 도자기조각, 폐흡착제 및 폐흡수제, 안정화 또는 고형화 처리물, 폐산, 폐알칼리, 폐유기용제, 폐유독물)"
126,수집운반,성진환경,경북 경산시 자인면 자인공단4로 6,053-857-3305,지정폐기물(액상)
127,수집운반,한빛에너지(주),"경북 경산시 자인면 한장군로 480 (교촌리, 한빛에너지㈜)",053-854-4747,"폐유(액.고상,공드럼), 폐유기용제(할로겐.비할로겐족,폐부동액), 폐산, 폐알칼리, 폐페인트 등"
128,수집운반,(주)건협,경북 경산시 진량읍 평사1길 104-34 (평사리),053-856-0340,"지정폐기물(액,고상)"
129,수집운반,(주)유일,경북 포항시 남구 포스코대로 437 (해도동),054-283-9800,"분진,소각재,폐페인트,폐주물사,폐유(단, 고상)"
130,수집운반,호경산업,경북 경산시 진량읍 두인길 9 (선화리 201),053-851-0731,폐산(액상)
131,수집운반,(주)강동환경,대구광역시 수성구 들안로14길 33-4,053-965-3006,지정폐기물(고상) : 폐석면
132,수집운반,열린환경㈜,"대구시 달성군 화원읍 성화로 18, 열린빌딩 2층",053-639-8008,폐석면
133,수집운반,(주)태경환경,대구시 북구 동북로61길 13-2 (복현동),053-958-9596,"폐석면,오니류,폐광재,분진,소각재,폐유,폐페인트,폐유기용제,폐내화물,폐흡착제"
134,수집운반,주은산업(주),경북 구미시 산동면 성수4길 15,054-474-5063,"지정폐기물(고상) : 폐합성고분자화합물,오니류,소각재,폐유,폐석면,폐유기용제,폐페인트,폐락카,분진"
135,수집운반,(유)종운환경,경상북도 포항시 남구 서원재로 1,054-291-1202,"분진, 폐유(고상), 소각재, 폐수처리오니, 폐페인트, 폐주물사, 폐석면, 광재, 폐사, 공정오니, 폐유기용제(고상)"
136,수집운반,동방환경산업(주),경북 안동시 앙실로 333 (수하동),054-859-7979,폐석면
137,수집운반,대영환경(주),경북 포항시 남구 오천읍 문덕서로 155 (문덕리),054-293-5515,"(고상)분진,소각재,폐수처리오니,폐페인트,폐주물사,폐유,폐석면,광재,폐사,공정오니,폐유기용제, 폐농약, 폐내화물, 폐유독물, 폐흡착제, 폐알칼리, 폴리클로리네이티드비페닐(PCBs)함유폐기물(PCBs 함유 폐변압기, 폐축전지, 폐안정기를 원형 그대로 배출할 경우), 폐촉매, 폐락카 / (액상)폐농약, 폐산, 폐알칼리, 폐유기용제. 폐페인트, 폐유독물, 폐유, 폐락카"
138,수집운반,(주)동진환경,"경북 경주시 천북면 모아동산길 207-16 (동산리, 동진환경)",054-742-8572,"폐유(고상), 폐페인트(고상), 분진, 폐주물사"
139,수집운반,주식회사 에스피환경,경북 영천시 도남공단3길 25,054-336-0280,"고상-폐농약,분진,소각재,폐유,폐유기용제,폐사,폐내화물,광재,오니류,폐페인트,폐석면"
140,수집운반,(주)피앤비,경북 포항시 남구 오천읍 정몽주로 793,054-282-0041,분진
141,수집운반,(주)삼우환경,대구시 동구 안심로 102길 39,053-964-2504,폐석면
142,수집운반,대구환경,"대구광역시 달성군 다사읍 서재로7길 23, 207동 603호",053-593-0030,"폐유, 폐유기용제, 폐산, 폐알칼리, 폐합성고분자화합물(액상)"
143,수집운반,(주)대구경북환경공사,경북 고령군 개진면 개경포로 512,053-525-6813,"지정폐기물 [폐유(액상), 폐유, 폐페인트, 분진(고상)]"
144,수집운반,㈜중앙환경산업(구.(주)아스에이원),경북 김천시  아포대로 56-39,054-430-4244,"오니류, 광재, 분진, 폐주물사 및 샌드블라스트폐사, 폐내화물 및 재벌구이 전에 유약을 바른 도자기 조각, 폐페인트 및 폐래커, 폐유, 폐석면"
145,수집운반,삼성석면환경㈜,경북 안동시 서후면 풍산태사로 2671,054-859-1135,"지정폐기물 고상(오니류, 광재, 분진, 소각재. 폐유, 폐석면)"
146,수집운반,시원환경(주),경북 울진군 북면 울진북로 2321 (나곡리),054-783-6441,"폐유, 폐페인트 및 폐래커, 분진, 소각재, 폐흡착제, 공정오니, 폐수오니, 폐촉매, 폐유기용제, 폐농약, 폐산, 폐알칼리, 광재, 안정화 또는 고형화처리물, 그밖의 폐기물"
147,수집운반,(주)에스피켐텍,경북 영천시 금호읍 도남공단1길 5-35 (구암리),054-332-1191,"폐유(액상), 폐유기용제(액상), 폐산, 폐알칼리"
148,수집운반,(주)친환경,대구 달성군 하빈면 달구벌대로 8길 62,054-956-6701,폐유(액상)
149,수집운반,매일환경㈜,경북 포항시 남구 오천읍 냉천로 540 (문덕리),054-292-5677,"액상(폐유기용제, 폐페인트 및 페락카, 폐유), 고상(폐수처리오니, 공정오니, 폐주물사 및 폐사, 폐흡착제 및 폐흡수제, 폐페인트  및 폐락카, 폐유, 폐석면)"
150,수집운반,일성산업㈜,경북 영천시 금호읍 죽방길 279-9,054-334-1900,"(액상)폐유기용제, 폐페인트 및  폐락카, 폐유, 폐산, 폐알칼리, 폐광물유, 폐유독물질/ (고상)폐수처리오니, 공정오니, 폐주물사 및 폐사, 폐흡착제 및 폐흡수제, 폐페인트 및 폐락카, 폐유, 폐석면, 폐합성고분자화합물, 폐유기용제, 폐농약, 광재, 분진, 폐내화물 및 폐도자기 조각, 소각재, 안정화 또는 고형화·고화처리물, 폐촉매, 폐광물유, 폐유독물질"
151,수집운반,(주)세화정유,경북 영천시 금호읍 칠백로 746,054-331-7403,"폐유, 폐유기용제, 폐페인트, 폐산, 폐알칼리, 공정오니"
152,수집운반,대경씨엔,경북 경산시 압량읍 진등길 61,053-817-0791,"액상(폐유, 폐유기용제, 폐페인트 및 폐락카, 폐농약, 폐산, 폐알칼리,PCBs 함유 폐기물정오니), 고상(폐유, 폐유기용제, 폐페인트 및 폐락카, 공정오니, 폐농약, 광재, 분진,폐주물사 및 폐사, 소각재, 폐촉매 폐흡착제 및 폐흡수제)"
153,수집운반,(주)클린코리아 안강공장,경북 경주시 안강읍 두류길 162,054-762-7672,"액상(폐유, 폐유기용제, 폐페인트 및 폐락카, 폐농약, 폐산, 폐알칼리,PCBs 함유 폐기물정오니), 고상(폐유, 폐유기용제, 폐페인트 및 폐락카, 공정오니, 폐농약, 광재, 분진,폐주물사 및 폐사, 소각재, 폐촉매 폐흡착제 및 폐흡수제)"
154,수집운반,(주)에스에이치산업,경북 영천시 채신1공단길 74-22,054-331-1866,액상(폐산)
