연번,관할청센터,업종,업체명,주소,대표전화,대상폐기물,보유장비,대수
29,서산센터,공공폐수처리시설,어성환경산업,충청남도 태안군 태안읍 귀실길 14,041-666-1957,탈수슬러지케이크,암롤트럭,1
30,서산센터,중장비 업체,태안중기㈜,충청남도 태안군 근흥면 근흥로 823,041-674-2420,-,크레인,5
31,서산센터,중장비 업체,태안중기㈜,충청남도 태안군 근흥면 근흥로 823,041-674-2420,-,굴삭기,50
32,서산센터,중장비 업체,태안중기㈜,충청남도 태안군 근흥면 근흥로 823,041-674-2420,-,지게차,5
33,서산센터,중장비 업체,태안중기㈜,충청남도 태안군 근흥면 근흥로 823,041-674-2420,-,덤프트럭,50
34,서산센터,중장비 업체,충룡건기㈜,충청남도 태안군 소원면 소근로 40,041-674-1345,-,크레인,2
35,서산센터,중장비 업체,충룡건기㈜,충청남도 태안군 소원면 소근로 40,041-674-1345,-,굴삭기,20
36,서산센터,중장비 업체,충룡건기㈜,충청남도 태안군 소원면 소근로 40,041-674-1345,-,지게차,7
37,서산센터,중장비 업체,충룡건기㈜,충청남도 태안군 소원면 소근로 40,041-674-1345,-,덤프,20
38,서산센터,중장비 업체,오천크레인,충청남도 태안군 태안읍 서해로 2008,041-674-5996,-,크레인,5
39,서산센터,중장비 업체,오천크레인,충청남도 태안군 태안읍 서해로 2008,041-674-5996,-,지게차,3
40,서산센터,중장비 업체,삼일크레인지게차,충청남도 태안군 태안읍근흥로 18-3,041-674-8231,-,크레인,12
41,서산센터,중장비 업체,삼일크레인지게차,충청남도 태안군 태안읍근흥로 18-3,041-674-8231,-,지게차,6
42,서산센터,폐기물 최종처리업체,광운씨엔에스㈜,충청남도 보령시 천북면 홍보로 664-27,041-641-1915,"폐흡착제, 폐활성탄",덤프트럭,2대
43,서산센터,폐기물 수집·운반업체,은포산업개발㈜,충청남도 보령시 주교면 울계큰길 66-1,,"폐유리,폐판넬,유기성오니,소각재,분진,폐주물사 및 폐사 등",카고트럭,2대
44,서산센터,폐기물 수집·운반업체,건양개발㈜,충청남도 보령시 웅천읍 수부리 산6-2,041-931-0924,"무기성오니류, 폐토사",덤프트럭,3대
45,서산센터,폐기물 수집·운반업체,부흥자원,충청남도 서산시 여전중앙길 94-14 (예천동),,폐합성수지류 등 18종,기계식상차장치부착차량,1대
46,서산센터,폐기물 수집·운반업체,부흥자원,충청남도 서산시 여전중앙길 94-14 (예천동),,폐합성수지류 등 18종,밀폐식차량,1대
47,서산센터,폐기물 수집·운반업체,디에이치건설(주),"충청남도 서산시 음암면 서령로 330, 상가동 2층 (음암마을아파트)",,폐합성수지류 등 62종,밀폐식차량,2대
48,서산센터,폐기물 수집·운반업체,(유)지원환경건설,"충청남도 서산시 해미면 성지1로 76-10, 1층",070-8845-1875,하수준설토,밀폐식차량,2대
49,서산센터,폐기물 수집·운반업체,동준환경산업,"충청남도 서산시 성연면 성연2로 45, 1606호",,폐합성수지류 등 54종,카고트럭,3대
50,서산센터,폐기물 수집·운반업체,녹색자원,충청남도 서산시 고북면 내포로 2316-9,,폐합성수지류 등 33종,카고트럭,1대
51,서산센터,폐기물 수집·운반업체,녹색자원,충청남도 서산시 고북면 내포로 2316-9,,폐합성수지류 등 33종,기계식상차장치부착차량,2대
52,서산센터,폐기물 수집·운반업체,녹색자원,충청남도 서산시 고북면 내포로 2316-9,,폐합성수지류 등 33종,운반용압축차량,1대
53,서산센터,폐기물 수집·운반업체,서산고물상 우성자원,충청남도 서산시 해미면 귀밀길 13-6,,폐합성수지류 등 33종,카고트럭,2대
54,서산센터,폐기물 수집·운반업체,서산고물상 우성자원,충청남도 서산시 해미면 귀밀길 13-6,,폐합성수지류 등 33종,기계식상차장치부착차량,1대
55,서산센터,폐기물 수집·운반업체,㈜아진환경,충청남도 서산시 오산7길 34 (오남동),041-669-8456,폐합성수지류 등 33종,카고트럭,1대
56,서산센터,폐기물 수집·운반업체,㈜아진환경,충청남도 서산시 오산7길 35 (오남동),041-669-8457,폐합성수지류 등 33종,암롤트럭,1대
57,서산센터,폐기물 수집·운반업체,㈜통인환경물류,충청남도 서산시 지곡면 충의로 1442,041-662-3113,"사업장생활계폐기물, 사업장폐기물",탱크로리,2대
58,서산센터,폐기물 수집·운반업체,㈜통인환경물류,충청남도 서산시 지곡면 충의로 1443,041-662-3114,"사업장생활계폐기물, 사업장폐기물",운반용압축차량,1대
59,서산센터,폐기물 수집·운반업체,㈜통인환경물류,충청남도 서산시 지곡면 충의로 1444,041-662-3115,"사업장생활계폐기물, 사업장폐기물",밀폐식차량,2대
60,서산센터,폐기물 수집·운반업체,㈜통인환경물류,충청남도 서산시 지곡면 충의로 1445,041-662-3116,"사업장생활계폐기물, 사업장폐기물",카고트럭,1대
61,서산센터,폐기물 수집·운반업체,㈜통인환경물류,충청남도 서산시 지곡면 충의로 1445,041-662-3116,"사업장생활계폐기물, 사업장폐기물",덤프트럭,1대
62,서산센터,폐기물 수집·운반업체,(주)대경산업,충청남도 서산시 음암면 안치중곡길 50,041-667-5158,사업장폐기물,기계식상차장치부착차량,1대
63,서산센터,폐기물 수집·운반업체,(주)대경산업,충청남도 서산시 음암면 안치중곡길 50,041-667-5158,사업장폐기물,카고트럭,2대
64,서산센터,폐기물 수집·운반업체,(주)신성진철강,충청남도 서산시 음암면 칠거리로 8-22,041-662-7485,폐합성수지류 등 17종,카고트럭,1대
65,서산센터,폐기물 수집·운반업체,(주)신성진철강,충청남도 서산시 음암면 칠거리로 8-22,041-662-7485,폐합성수지류 등 17종,기계식상차장치부착차량,1대
66,서산센터,폐기물 수집·운반업체,(주)지티비스,충청남도 서산시 대산읍 화곡리 850,041-688-9114,사업장배출시설계폐기물,덤프트럭,1대
67,서산센터,폐기물 수집·운반업체,(주)지티비스,충청남도 서산시 대산읍 화곡리 850,041-688-9114,사업장배출시설계폐기물,암롤트럭,1대
68,서산센터,폐기물 수집·운반업체,(주)동아자원,충청남도 서산시 장동2길 32 (장동),041-668-7743,사업장배출시설계폐기물,기계식상차장치부착차량,2대
69,서산센터,폐기물 수집·운반업체,지성농산,충청남도 서산시 해미면 읍내리 364,,사업장배출시설계폐기물,밀폐식차량,1대
70,서산센터,폐기물 수집·운반업체,지성농산,충청남도 서산시 해미면 읍내리 364,,사업장배출시설계폐기물,암롤트럭,1대
71,서산센터,폐기물 수집·운반업체,미래산업,충청남도 서산시 대산읍 대산리 1094-2,041-663-7308,사업장배출시설계폐기물,기계식상차장치부착차량,2대
72,서산센터,폐기물 수집·운반업체,지원산업,충청남도 서산시 대산읍 명지1로 234,,폐수처리오니 등 11종,탱크로리,1대
73,서산센터,폐기물 수집·운반업체,지원산업,충청남도 서산시 대산읍 명지1로 234,,폐수처리오니 등 11종,밀폐식차량,1대
74,서산센터,폐기물 수집·운반업체,(주)현진스틸,충청남도 서산시 장동옥동미길 33 (장동),041-668-5113,폐합성수지류 등 12종,집게차,1대
75,서산센터,폐기물 수집·운반업체,(주)현진스틸,충청남도 서산시 장동옥동미길 33 (장동),041-668-5113,폐합성수지류 등 12종,카고트럭,1대
76,서산센터,폐기물 수집·운반업체,혁성자원,충청남도 서산시 대산읍 충의로 2687-88,,정수처리오니 등 39종,기계식상차장치부착차량,3대
77,서산센터,폐기물 수집·운반업체,혁성자원,충청남도 서산시 대산읍 충의로 2687-88,,정수처리오니 등 39종,카고트럭,1대
78,서산센터,폐기물 수집·운반업체,혁성자원,충청남도 서산시 대산읍 충의로 2687-88,,정수처리오니 등 39종,암롤트럭,1대
79,서산센터,폐기물 중간처분업체,서해그린환경㈜,충청남도 서산시 대산읍 죽엽로 382,041-663-7053,"사업장폐기물, 그밖의 폐기물",암롤트럭,2대
80,서산센터,폐기물 중간처분업체,서해그린환경㈜,충청남도 서산시 대산읍 죽엽로 382,041-663-7053,"사업장폐기물, 그밖의 폐기물",콘테이너 트럭,1대
81,서산센터,폐기물 수집·운반업체,(주)계양산업,충청남도 아산시 영인면 토정로476번길 34-28,041-543-0100,"가축분뇨처리오니 및 오니류, 폐합성수지류 등",암롤트럭,2대
82,서산센터,폐기물 수집·운반업체,(주)계양산업,충청남도 아산시 영인면 토정로476번길 34-28,041-543-0100,"가축분뇨처리오니 및 오니류, 폐합성수지류 등",기계식상차장치부착차량,1대
83,서산센터,폐기물 수집·운반업체,(주)우림환경,충청남도 아산시 둔포면 둔포중앙로 169\_ 2층,,"오니류, 폐내화물, 폐금속류 등",운반용압축차량,1대
84,서산센터,폐기물 수집·운반업체,(주)우림환경,충청남도 아산시 둔포면 둔포중앙로 169\_ 2층,,"오니류, 폐내화물, 폐금속류 등",밀폐식차량,4대
85,서산센터,폐기물 수집·운반업체,(주)우림환경,충청남도 아산시 둔포면 둔포중앙로 169\_ 2층,,"오니류, 폐내화물, 폐금속류 등",카고트럭,1대
86,서산센터,폐기물 수집·운반업체,(주)청록환경,충청남도 아산시 도고면 아산만로35번길 21-5,041-547-1455,"그 밖의 유기성오니, 폐수처리오니 등, 폐합성수지류 등",암롤트럭,9대
87,서산센터,폐기물 최종처리업체,(주)토리컴,충청남도 아산시 둔포면 아산밸리동로 78,041-537-6114,"오니류, 폐촉매, 폐합성섬유, 폐전지 등",밀폐식차량,3대
88,서산센터,폐기물 수집·운반업체,㈜대산산업,충청남도 예산군 신암면 조곡예림안길 34-32,041-332-8123,"폐합성수지, 폐합성섬유(고상) 등",암롤트럭,7대
89,서산센터,폐기물 수집·운반업체,㈜대산산업,충청남도 예산군 신암면 조곡예림안길 34-32,041-332-8123,"폐합성수지, 폐합성섬유(고상) 등",집게차,1대
90,서산센터,폐기물 수집·운반업체,㈜대산산업,충청남도 예산군 신암면 조곡예림안길 34-32,041-332-8123,"폐합성수지, 폐합성섬유(고상) 등",1톤트럭,1대
91,서산센터,폐기물 수집·운반업체,건영종합환경,충청남도 예산군 예산읍 예산로 184 세강빌딩 8층 806호,041-335-1677,사업장폐기물,트럭,1대
92,서산센터,폐기물 수집·운반업체,건영종합환경,충청남도 예산군 예산읍 예산로 184 세강빌딩 8층 806호,041-335-1677,사업장폐기물,암롤트럭,2대
93,서산센터,중장비 업체,041지게차혜성건설기계,충청남도 예산군 예산읍 벚꽃로 147,041)331-3041,-,굴착기 등,2대
94,서산센터,중장비 업체,협신건설기계,충청남도 예산군 예산읍 벚꽃로 347,041)334-0445,-,굴착기 등,2대
95,서산센터,중장비 업체,금성종합건설,충청남도 예산군 예산읍 금오대로 115,041)333-4119,-,굴착기 등,2대
96,서산센터,폐기물 수집·운반업체,㈜보민환경,충청남도 청양군 비봉면 록평용당로 656-32,041-943-7436,"사업장 생활폐기물 (폐합성수지류, 폐합성고무류, 폐토사, 폐목재류, 폐보온재)",압롤트럭,3대
97,서산센터,폐기물 수집·운반업체,㈜보민환경,충청남도 청양군 비봉면 록평용당로 656-32,041-943-7436,"사업장 생활폐기물 (폐합성수지류, 폐합성고무류, 폐토사,폐목재류,폐보온재)",집게차,1대
98,서산센터,폐기물 수집·운반업체,㈜태한산업,충청남도 홍성군 은하면 백야로 68번길 16,041-642-3358,"폐합성수지, 광재, 폐주물사 및 폐사 소각잔재물 등",암롤트럭,4대
99,서산센터,폐기물 수집·운반업체,구항산업,충청남도 홍성군 구항면 구항서길 306-54,041-633-6227,"폐합성고분자화합물, 광재류, 분진류 폐주물사 및 폐사 등",암롤트럭,2대
100,서산센터,폐기물 수집·운반업체,영이엔티㈜,충청남도 홍성군 홍성읍 도청대로 149,041-635-1165,"폐합성수지류, 폐합성고무류, 폐폴리염화비닐수지류, 폐폴리우레탄폼류, 폐발포합성수지, 플라스틱폐포장재, 그 밖의 폐합성고분자화합물, 폐활성탄, 폐목재류",밀폐식차량,32대
101,서산센터,폐기물 수집·운반업체,청송산업㈜,충청남도 홍성군 홍성읍 백월로 57,-,"폐합성수지류, 폐합성고무류, 폐폴리우레탄폼류, 폐발포합성수지 등",암롤트럭,2대
102,서산센터,폐기물 수집·운반업체,내포환경,"충청남도 홍성군 홍북읍 도청대로 171, 202호",-,"폐합성수지, 폐합성고무류, 폐폴리우레탄폼류, 폐발포합성수지 등",암롤트럭,3대
103,서산센터,폐기물 수집·운반업체,금성환경,충청남도 홍성군 결성면 홍남서로 751-2,-,"폐합성수지, 퍠합성고무류, 폐폴리우레탄폼류, 폐발포합성수지 등",암롤트럭,5대
104,서산센터,폐기물 수집·운반업체,명진자원,충청남도 홍성군 홍성읍 백월로 17,041-632-5454,"폐합성고분자화합물, 폐목재류, 폐섬유류 등",암롤트럭,3대
105,서산센터,중장비 업체,(주)신한종합중기,서천읍 충절로121번길 8,041-952-3920,,,
106,서산센터,중장비 업체,차령중기(주),"서천읍 서천로 223, (2층)",041-952-6987,,,
107,서산센터,중장비 업체,(유)거도화물중기,장항읍 장항로179번길 18,041-956-2233,,,
108,서산센터,중장비 업체,(주)서은산업개발,종천면 화산리 308번지,041-953-7381,,,
109,서산센터,중장비 업체,평화중기(주),서천읍 서문로 32,041-953-4446,,,
110,서산센터,중장비 업체,영일건기(주),서천읍 서문로 32,041-953-7874,,,
111,서산센터,중장비 업체,동백상운(주),서면 서인로716번길 4,041-953-4700,,,
112,서산센터,중장비 업체,크레인코웍,서천읍 충절로121번길 8,041-952-3920,,,
113,서산센터,중장비 업체,유인환경중기 주식회사,서면 서인로131번길 55,041-952-8850,,,
114,서산센터,중장비 업체,장항크레인,서천읍 서천로 223,041-956-3392,,,
115,서산센터,폐기물 수집·운반업체,아주환경개발㈜,충청남도 당진시 순성면 본리로 20,041-355-7288,,암롤트럭,2
116,서산센터,폐기물 수집·운반업체,(주)성화환경,충청남도 당진시 신평면 독암길 34-18,041-363-2123,,암롤트럭,5
117,서산센터,폐기물 수집·운반업체,(주)푸른환경,충청남도 당진시 면천면 면천로 393,070-8613-6699,,암롤트럭,1
118,서산센터,폐기물 수집·운반업체,리뉴로지스인더 주식회사,충청남도 당진시 송악읍 부곡공단로 73,041-356-9500,,암롤트럭,5
119,서산센터,폐기물 수집·운반업체,화서유지상사,충청남도 당진시 당진시장길 74,041-352-7312,,암롤트럭,2
120,서산센터,폐기물 수집·운반업체,이삭환경,충청남도 당진시 원당골길 79,041-352-6565,,암롤트럭,3
121,서산센터,폐기물 수집·운반업체,㈜태건환경건설,충청남도 당진시 합덕읍 면천로 1361-46,041-354-7764,,암롤트럭,1
122,서산센터,폐기물 수집·운반업체,(유)대한청정환경,충청남도 당진시 송악읍 조비실길 131-4,041-357-7431,,암롤트럭,2
123,서산센터,폐기물 수집·운반업체,㈜드림개발,충청남도 당진시 순성면 남부로 1094,070-4773-4423,,암롤트럭,1
124,서산센터,폐기물 수집·운반업체,㈜대생이엔티,"충청남도 당진시 서해로 6271-14, 엠동 101호",041-358-2551,,암롤트럭,2
125,서산센터,폐기물 수집·운반업체,시현환경건설㈜,충청남도 당진시 정안로 65,041-358-4401,,암롤트럭,2
126,서산센터,폐기물 수집·운반업체,㈜수목환경,충청남도 당진시 송산면 무수들길 342,041-430-8575,,암롤트럭,2
127,서산센터,폐기물 수집·운반업체,㈜이노블루,"충청남도 당진시 시곡로 344, 207호",041-358-0303,,암롤트럭,2
128,서산센터,폐기물 수집·운반업체,이조환경㈜,충청남도 당진시 정미면 4.4만세로 662,041-353-2322,,암롤트럭,2
129,서산센터,폐기물 수집·운반업체,덕영건설㈜,"충청남도 당진시 우강면 덕평로 943, 가동 102호",041-357-9679,,암롤트럭,1
130,서산센터,폐기물 수집·운반업체,나은환경산업㈜,충청남도 당진시 신평면 서해로 6893,041-362-3337,,암롤트럭,2
131,서산센터,폐기물 수집·운반업체,㈜스마트환경개발,"충청남도 당진시 송산면 서정 11길 6-1, 101호",,,암롤트럭,2
132,서산센터,폐기물 수집·운반업체,㈜디제이환경산업,충청남도 당진시 송산면 송산로 488,041-357-7605,,암롤트럭,3
133,서산센터,폐기물 수집·운반업체,동산환경,충청남도 당진시 고대면 금암로 375,,,암롤트럭,3
134,서산센터,폐기물 수집·운반업체,주식회사 유진산업,"충청남도 당진시 북문로 1길 41-7, 202호",041-358-8311,,암롤트럭,2
135,서산센터,폐기물 수집·운반업체,주식회사 클린당진,"충청남도 당진시 틀모시로 638, 101호",,,암롤트럭,2
136,서산센터,폐기물 수집·운반업체,태림산업㈜,"충청남도 당진시 시청2로 20, 503호",041-355-5660,,암롤트럭,1
137,여수센터,폐기물수집운반업,해아산업(주),전라남도 광양시 광양읍 유당로 214-7,061-761-1268,사업장폐기물 등,암롤트럭,2대
138,여수센터,폐기물수집운반업,해아산업(주),전라남도 광양시 광양읍 유당로 214-7,061-761-1268,사업장폐기물 등,운반용압착차량,1대
139,여수센터,폐기물수집운반업,해아산업(주),전라남도 광양시 광양읍 유당로 214-7,061-761-1268,사업장폐기물 등,기계식상차장치부착차량,1대
140,여수센터,폐기물수집운반업,해아래환경자원(주),전라남도 광양시 봉강면 매천로 518,061-763-8090,사업장폐기물 등,카고트럭,2대
141,여수센터,폐기물수집운반업,해아래환경자원(주),전라남도 광양시 봉강면 매천로 518,061-763-8090,사업장폐기물 등,집게차,2
142,여수센터,폐기물수집운반업,해아래환경자원(주),전라남도 광양시 봉강면 매천로 518,061-763-8090,사업장폐기물 등,암롤트럭,1
143,여수센터,폐기물수집운반업,해아래환경자원(주),전라남도 광양시 봉강면 매천로 518,061-763-8090,사업장폐기물 등,진개차,1
144,여수센터,폐기물수집운반업,태흥기업(주),전라남도 광양시 백운1로 153 (태인동),061-792-5500,사업장폐기물 등,암롤트럭,1
145,여수센터,폐기물수집운반업,태흥기업(주),전라남도 광양시 백운1로 153 (태인동),061-792-5500,사업장폐기물 등,진개차,2
146,여수센터,폐기물수집운반업,태흥기업(주),전라남도 광양시 백운1로 153 (태인동),061-792-5500,사업장폐기물 등,밀폐식차량,2
147,여수센터,폐기물수집운반업,청암산업(주),전라남도 광양시 진상면 백운3로 131,061-772-5553,사업장폐기물 등,덤프트럭,7
148,여수센터,폐기물수집운반업,지산스틸,전라남도 광양시 김시식지1길 57-63 (태인동),061-772-6678,사업장폐기물 등,덤프트럭,1
149,여수센터,폐기물수집운반업,지산스틸,전라남도 광양시 김시식지1길 57-63 (태인동),061-772-6678,사업장폐기물 등,기타차량,2
150,여수센터,폐기물종합재활용업,주식회사 에코라임,전라남도 광양시 제철로 2148-97 (금호동),061-795-7650,사업장폐기물 등,덤프트럭,5
151,여수센터,폐기물중간재활용업,㈜광양환경,전라남도 광양시 광양읍 직동1길 13,061-762-8259,사업장폐기물 등,암롤트럭,3
152,여수센터,폐기물수집운반업,지산스틸,전라남도 광양시 김시식지1길 57-63 (태인동),061-772-6678,사업장폐기물 등,집게차,1
153,여수센터,폐기물종합재활용업,조선내화(주)광양내화원료공장,전라남도 광양시 산업로 55 (태인동),061-790-5375,사업장폐기물 등,덤프트럭,1
154,여수센터,폐기물수집운반업,전남기업(주),전라남도 광양시 담안길 120 (태인동),061-792-0031,사업장폐기물 등,기타차량,3
155,여수센터,폐기물수집운반업,일진기업(주),전라남도 광양시 옥곡면 신금로 236,061-772-8075,사업장폐기물 등,기타차량,7
156,여수센터,폐기물수집운반업,일진기업(주),전라남도 광양시 옥곡면 신금로 236,061-772-8075,사업장폐기물 등,덤프트럭,14
157,여수센터,폐기물수집운반업,유한회사 대명에너지,전라남도 광양시 광양읍 서북로 46\_ 금룡빌딩 3층,061-795-8081,사업장폐기물 등,기타차량,19
158,여수센터,폐기물수집운반업,유창타이어,전라남도 광양시 하포길 128 (황길동),,사업장폐기물 등,기타차량,1
159,여수센터,폐기물수집운반업,유창타이어,전라남도 광양시 하포길 128 (황길동),,사업장폐기물 등,집게차,1
160,여수센터,폐기물수집운반업,유신골재(주),전라남도 광양시 광양읍 석정길 35,,사업장폐기물 등,덤프트럭,2
161,여수센터,폐기물수집운반업,우리환경,전라남도 광양시 광양읍 금너길 14,061-761-3700,사업장폐기물 등,카고트럭,1
162,여수센터,폐기물수집운반업,우리환경,전라남도 광양시 광양읍 금너길 14,061-761-3700,사업장폐기물 등,기타차량,3
163,여수센터,폐기물수집운반업,신양개발(주),전라남도 광양시 사동로 1\_ 3층 301호 (중동),061-792-3457,사업장폐기물 등,덤프트럭,20
164,여수센터,폐기물수집운반업,세강산업(주),전라남도 광양시 백운1로 48 (태인동),061-791-0355,사업장폐기물 등,덤프트럭,4
165,여수센터,폐기물수집운반업,선영상운(주),전라남도 광양시 구마7길 44 (중동),061-793-9300,사업장폐기물 등,덤프트럭,1
166,여수센터,폐기물수집운반업,선영상운(주),전라남도 광양시 구마7길 44 (중동),061-793-9300,사업장폐기물 등,카고트럭,2
167,여수센터,폐기물수집운반업,선샤인테크(주),전라남도 광양시 중마로 319 (마동),061-791-0844,사업장폐기물 등,밀폐식차량,2
168,여수센터,폐기물수집운반업,서기산업(주),전라남도 광양시 옥정로 95 (성황동),061-791-8383,사업장폐기물 등,운반용압착차량,2
169,여수센터,폐기물수집운반업,서기산업(주),전라남도 광양시 옥정로 95 (성황동),061-791-8383,사업장폐기물 등,암롤트럭,5
170,여수센터,폐기물수집운반업,서기산업(주),전라남도 광양시 옥정로 95 (성황동),061-791-8383,사업장폐기물 등,카고트럭,2
171,여수센터,폐기물수집운반업,서기산업(주),전라남도 광양시 옥정로 95 (성황동),061-791-8383,사업장폐기물 등,집게차,1
172,여수센터,폐기물수집운반업,서강기업(주),전라남도 광양시 백운1로 89 (태인동),061-798-0600,사업장폐기물 등,기타차량,1
173,여수센터,폐기물수집운반업,서강기업(주),전라남도 광양시 백운1로 89 (태인동),061-798-0600,사업장폐기물 등,덤프트럭,32
174,여수센터,폐기물수집운반업,삼진기업(주),전라남도 광양시 금호동 639,061-790-3338,사업장폐기물 등,기타차량,2
175,여수센터,폐기물수집운반업,삼진기업(주),전라남도 광양시 금호동 639,061-790-3338,사업장폐기물 등,기계식상차장치부착차량,3
176,여수센터,폐기물수집운반업,명신기업,전라남도 광양시 용지길 20 (태인동),061-792-0400,사업장폐기물 등,덤프트럭,3
177,여수센터,폐기물수집운반업,동부타이어,전라남도 광양시 광양읍 인덕로 959-1,,사업장폐기물 등,기타차량,1
178,여수센터,폐기물수집운반업,동부타이어,전라남도 광양시 광양읍 인덕로 959-1,,사업장폐기물 등,집게차,1
179,여수센터,폐기물수집운반업,동부로지택(주),전라남도 광양시 중마로 55 (중동),061-795-1100,사업장폐기물 등,기타차량,6
180,여수센터,폐기물수집운반업,동부로지택(주),전라남도 광양시 중마로 55 (중동),061-795-1100,사업장폐기물 등,덤프트럭,1
181,여수센터,폐기물수집운반업,대영특수(주),전라남도 광양시 진월면 백운1로 526,061-772-7901,사업장폐기물 등,덤프트럭,2
