연번,업체명,갈래,협의권역,허가번호,허가기관,허가일,최초허가,시도,주소,대표전화,전문처리분야,처리가능폐기물,보유장비,비고
17,(주)코엔텍,중간처분(소각),경상권,제2-1-6호,낙동강유역환경청,2025-09-23,1999-01-02,울산광역시,울산광역시 남구 용잠동 산157번지 일원,052-228-7300,지정폐기물 중간처분업(소각전문),,,영업대상폐기물은 허가증 별첨 — 확인 못 함
18,(주)코엔텍,중간처분(소각),경상권,제12호,울산광역시,2025-10-29,,울산광역시,울산광역시 남구 용잠로 328(용잠동),052-228-7300,소각 전문,사업장 지정외 폐기물 중 소각대상 폐기물,처리시설 울산광역시 남구 용잠동 산157번지,일반폐기물 허가
19,(주)코엔텍,종합재활용,경상권,제105호,울산광역시 남구,2025-09-11,,울산광역시,울산광역시 남구 용잠로328(용잠동),052-228-7300,폐기물 종합재활용업(R-8-2),,,영업대상폐기물은 허가증 붙임 — 확인 못 함
20,우리환경,수집·운반,수도권,제 한강수집 259호,한강유역환경청,2022-04-14,,인천광역시,"인천광역시 미추홀구 용오로84, 107호(용현동 610-265)",032-227-7377,폐기물 수집·운반업,,,영업대상폐기물은 허가증 붙임 — 확인 못 함 · 영업구역 전국
21,(주)세송유화텍,종합재활용,강원권,제 중-11호,금강유역환경청,2004-07-01,,충청북도,충북 진천군 덕산읍 한삼로 273(신척리 425-31),043-536-1500,폐기물 종합재활용업,,,영업대상폐기물은 허가증 별첨 — 확인 못 함 · 연락처표는 강원권으로 적혀 있으나 소재지는 충북 진천
22,(주)에스제이에코환경,수집·운반,수도권,제 한강수집 248호,한강유역환경청,2021-04-12,,경기도,"경기도 평택시 안중읍 덕우로 11, 201호",031-686-8950,폐기물 수집·운반업,,,영업대상폐기물은 허가증 붙임 — 확인 못 함 · 영업구역 전국
23,㈜엔에이치리사이텍컴퍼니,종합재활용,수도권,제 한강중간 269호,한강유역환경청,2024-04-25,2015-08-31,경기도,"경기도 평택시 현덕면 현덕로 350, 350-3, 350-4, 350-7",1899-2567,"종합재활용업(재활용 유형 R-3-2, R-3-3, R-10-1)",지정폐기물,,영업대상은 '지정폐기물(붙임 참조)' 로만 적혀 있어 세부 목록은 확인 못 함
24,대경이엔지/DK케미칼,수집·운반,수도권,,,,,경기도,경기도 평택시 서탄면 내천길 142-22,,폐기물 수집·운반업,,,허가증 없음 — 연락처표에만 있음
25,코어엔텍,중간처분(소각),수도권,,,,,경기도,,,폐기물 중간처분업,,,허가증 없음 — 연락처표에만 있음
26,영진에코,수집·운반,경상권,,,,,,,,폐기물 수집·운반업,,,허가증 없음 — 연락처표에만 있음
