업체명,소재지,대표전화,장비·인력,단위,수량
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,전면형 마스크,EA,18
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,화학보호복,EA,18
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,화학장갑,EA,18
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,규조토,KG,60
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,소석회,KG,100
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,팽창질석,KG,2200
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,공기통마스크,EA,8
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,방열복,EA,4
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,방열장갑,EA,4
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,방열장화,EA,4
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,방화복,EA,5
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,전면형 마스크,EA,9
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,화학보호복,EA,9
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,화학장갑,EA,9
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,케미칼 흡착포,BOX,1
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,흡착포,BOX,2
대림산업㈜ LHDPE공장,전라남도 여수시 여수산단중앙로 438,061-688-7548,방재인원,명,2
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,공기통마스크,EA,7
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,방열복,EA,2
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,방열장갑,EA,2
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,방열장화,EA,2
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,방화복,EA,6
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,전면형 마스크,EA,6
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,화학보호복,EA,6
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,화학장갑,EA,6
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,케미칼흡착포,BOX,3
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,오일흡착포,BOX,4
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,분말규조토,KG,20
대림산업㈜ 여수PB공장,전라남도 여수시 여수산단중앙로 276,061-688-6371,방재인원,명,2
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,공기통마스크,SET,13
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,방수복,SET,2
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,방열복,EA,5
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,방열안전모,EA,5
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,방열장갑,EA,5
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,방열장화,EA,5
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,방화두건,EA,5
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,방화복,EA,2
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,전동식마스크,EA,1
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,전면형마스크,EA,30
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,화학보호복,EA,20
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,화학장갑,EA,20
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,분말소석회,KG,520
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,액상소석회,L,40
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,오일흡착포,BOX,33
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,케미칼흡착패드,매,560
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,방재인원,명,7
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,오일펜스,M,200
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,오일분산제,KG,90
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,흡착제,KG,200
대림산업㈜ 여수C4공장,전라남도 여수시 여수산단중앙로 275,061-688-6821,방재인원,명,4
대정티씨 여수공장,전라남도 여수시 여수산단1로 310-37,061-685-3021,소화기,EA,1
대정티씨 여수공장,전라남도 여수시 여수산단1로 310-37,061-685-3021,내산복,EA,2
대정티씨 여수공장,전라남도 여수시 여수산단1로 310-37,061-685-3021,개인보호구,EA,2
대정티씨 여수공장,전라남도 여수시 여수산단1로 310-37,061-685-3021,흡착포,EA,50
대정티씨 여수공장,전라남도 여수시 여수산단1로 310-37,061-685-3021,모래,포,5
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,차량,대,23
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,방독면,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,소화기,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,삽,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,보안경,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,보안면,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,보호장갑,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,보호장화,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,안전화,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,보호의,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,안전모,EA,2
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,흡착포,BOX,1
㈜대진,전라남도 여수시 삼동로 101,061-685-5980,방재인원,명,31
㈜두원,전라남도 광양시 광양읍 초남공단1길 10,061-763-1755,소화기,EA,2
㈜두원,전라남도 광양시 광양읍 초남공단1길 10,061-763-1755,소석회,KG,140
㈜두원,전라남도 광양시 광양읍 초남공단1길 10,061-763-1755,모래,KG,200
㈜두원,전라남도 광양시 광양읍 초남공단1길 10,061-763-1755,방재인원,명,25
㈜동특,전라남도 여수시 여수산단 4로 96,061-685-2311,오일펜스,M,440
㈜동특,전라남도 여수시 여수산단 4로 96,061-685-2311,유흡착제,매,500
㈜동특,전라남도 여수시 여수산단 4로 96,061-685-2311,반면형마스크,EA,3
㈜동특,전라남도 여수시 여수산단 4로 96,061-685-2311,보호장갑,EA,5
㈜동특,전라남도 여수시 여수산단 4로 96,061-685-2311,보호장화,EA,5
㈜동특,전라남도 여수시 여수산단 4로 96,061-685-2311,방재인력(명),명,3
㈜대평(냉동센터 위험물센터),전라남도 광양시 중마로 13,061-792-8147,보호장화,EA,10
㈜대평(냉동센터 위험물센터),전라남도 광양시 중마로 13,061-792-8147,작업복,EA,8
㈜대평(냉동센터 위험물센터),전라남도 광양시 중마로 13,061-792-8147,방독마스크,EA,7
㈜대평(냉동센터 위험물센터),전라남도 광양시 중마로 13,061-792-8147,필터,EA,7
㈜대평(냉동센터 위험물센터),전라남도 광양시 중마로 13,061-792-8147,장갑,EA,6
㈜대평(냉동센터 위험물센터),전라남도 광양시 중마로 13,061-792-8147,삽,EA,22
㈜대평(냉동센터 위험물센터),전라남도 광양시 중마로 13,061-792-8147,유흡착제,BOX,2
㈜대평(냉동센터 위험물센터),전라남도 광양시 중마로 13,061-792-8147,방재인원,명,4
㈜동성코퍼레이션,전라남도 여수시 여수산단2로 223-40,061-690-4623,소방차,대,1
㈜동성코퍼레이션,전라남도 여수시 여수산단2로 223-40,061-690-4623,오일펜스,EA,2
㈜동성코퍼레이션,전라남도 여수시 여수산단2로 223-40,061-690-4623,반면형마스크,EA,45
㈜동성코퍼레이션,전라남도 여수시 여수산단2로 223-40,061-690-4623,보호장갑,EA,40
㈜동성코퍼레이션,전라남도 여수시 여수산단2로 223-40,061-690-4623,보호장화,EA,24
㈜동성코퍼레이션,전라남도 여수시 여수산단2로 223-40,061-690-4623,공기호흡기,EA,5
㈜동성코퍼레이션,전라남도 여수시 여수산단2로 223-40,061-690-4623,보호복,EA,40
㈜동성코퍼레이션,전라남도 여수시 여수산단2로 223-40,061-690-4623,방재인원,명,40
㈜로비스,전라남도 여수시 여수산단로 274-9,061-805-9220,포터,대(1톤),1
㈜로비스,전라남도 여수시 여수산단로 274-9,061-805-9220,개인보호구,SET,5
㈜로비스,전라남도 여수시 여수산단로 274-9,061-805-9220,삽,EA,5
㈜로비스,전라남도 여수시 여수산단로 274-9,061-805-9220,곡괭이,EA,2
㈜로비스,전라남도 여수시 여수산단로 274-9,061-805-9220,오일휀스,M,15
㈜로비스,전라남도 여수시 여수산단로 274-9,061-805-9220,흡착포,BOX,2
㈜로비스,전라남도 여수시 여수산단로 274-9,061-805-9220,방재인원,명,5
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,보호의,EA,2
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,보호장갑,EA,2
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,보호장화,EA,2
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,방독면,EA,2
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,보안경,EA(1BOX),2
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,방제사,KG,100
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,흡착PAD,BOX,1
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,소화기,대,1
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,흡착포,BOX,2
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,중화제(탄산칼슘),BOX,1
롯데미쓰이화학㈜,전라남도 여수시 여수산단4로 129,061-680-8411,방재인원,명,4
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,소방차,대,1
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,공기호흡기,EA,41
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,전면형방독면,EA,600
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,에어라인마스크,EA,10
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,내화학복(1형식),EA,1
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,내화학복(4형식),EA,200
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,방화복,EA,66
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,방열복,EA,26
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,중화제(소석회),KG,1600
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,중화제(규조토),KG,200
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,중화제(산/알칼리),KG,200
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,오일흡착포,EA,1500
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,유기용제마스크,EA,200
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,내화학보호장갑,EA,120
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,내산장화,EA,50
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,수중펌프,EA,35
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,모래주머니,EA,1000
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,방재인원(비상),명,28
롯데첨단소재㈜,전라남도 여수시 여수산단로 334-27,061-689-1301 061-689-1303,방재인원(진압),명,132
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,소방차,대,1
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,방독마스크(전면형),EA,75
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,방독마스크(반면형),EA,26
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,화학보호복(3형식),SET,26
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,내화학장화,EA,12
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,안전장화,EA,18
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,유흡착포,BOX,10
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,삽,EA,8
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,곡괭이,EA,5
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,모래함,EA,8
롯데베르살리스 엘라스토머스㈜,전라남도 여수시 여수산단4로 53,061-690-2522,방재인력,명,5
롯데엠시시㈜ 여수1공장,전라남도 여수시 여수산단2로 116-82,061-680-8050,유흡착제,BOX,5
롯데엠시시㈜ 여수1공장,전라남도 여수시 여수산단2로 116-82,061-680-8050,반면형마스크,EA,12
롯데엠시시㈜ 여수1공장,전라남도 여수시 여수산단2로 116-82,061-680-8050,보호장갑,EA,24
롯데엠시시㈜ 여수1공장,전라남도 여수시 여수산단2로 116-82,061-680-8050,보호장화,EA,6
롯데엠시시㈜ 여수1공장,전라남도 여수시 여수산단2로 116-82,061-680-8050,내화학보호복,EA,24
롯데엠시시㈜ 여수1공장,전라남도 여수시 여수산단2로 116-82,061-680-8050,방열복,EA,4
롯데엠시시㈜ 여수1공장,전라남도 여수시 여수산단2로 116-82,061-680-8050,공기호흡기,EA,11
롯데엠시시㈜ 여수1공장,전라남도 여수시 여수산단2로 116-82,061-680-8050,방재인원,명,5
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,소방차,대,1
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,유흡착붐,BOX,1
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,유흡착제,BOX,19
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,반면형마스크,EA,36
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,보호장갑,EA,72
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,보호장화,EA,14
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,방독마스크(전면형),EA,72
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,모래함,EA,4
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,방열복,EA,4
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,삽,EA,21
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,공기호흡기,EA,17
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,송기마스크,EA,2
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,특수방화복,EA,5
롯데엠시시㈜ 여수2공장,전라남도 여수시 여수산단4로 129,061-680-8453,소석회,EA,4
