연번,설치장소,산단·고속도로,주소,관리주체,방재장비,단위,컨테이너장비함,간이방재함,계,연락망
6-7,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,화학물질흡착포(필로우형),box,-,-,5,-
6-8,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,화학물질흡착포(패드형),box,-,-,5,-
6-9,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,유흡착제,box,-,-,10,-
6-10,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,모래주머니(5kg),포,-,-,30,-
6-11,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,톱밥(40kg pp포대),포,-,-,10,-
6-12,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,폐기물봉투(25 bags),box,-,-,1,-
6-13,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,빗자루,ea,-,-,1,-
6-14,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,쓰레받기,ea,-,-,1,-
6-15,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,양동이(20L),ea,-,-,1,-
6-16,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,렌턴,ea,-,-,2,-
7-1,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,Level C 보호복,ea,-,-,5,-
7-2,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,Level C 마스크(전면형),ea,-,-,5,-
7-3,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,Level C 정화통,ea,-,-,5,-
7-4,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,Level C 보호장갑(유기화합물용),ea,-,-,5,-
7-5,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,Level C 보호장화(내산),ea,-,-,5,-
7-6,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,화학물질흡착포(패드형),box,-,-,5,-
7-7,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,화학물질흡착포(필로우형),box,-,-,5,-
7-8,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,화학물질흡착포(붐형),box,-,-,5,-
7-9,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,유흡착제,box,-,-,10,-
7-10,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,모래주머니(5kg),포,-,-,30,-
7-11,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,톱밥(40kg pp포대),포,-,-,10,-
7-12,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,폐기물봉투(25bag),box,-,-,1,-
7-13,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,빗자루,ea,-,-,2,-
7-14,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,쓰레받기,ea,-,-,2,-
7-15,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,양동이(20L),ea,-,-,3,-
7-16,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,랜턴,ea,-,-,2,-
7-17,천안 제5산단,산업단지 내 공공폐수처리시설,충남 천안시 동남구 성남면 대화리 377,금강청,삽,ea,-,-,5,-
8-1,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,Level C 보호복,ea,-,-,5,-
8-2,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,Level C 마스크(전면형),ea,-,-,5,-
8-3,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,Level C 정화통,ea,-,-,5,-
8-4,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,Level C 보호장갑(유기화합물용),ea,-,-,5,-
8-5,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,Level C 보호장화(내산),ea,-,-,5,-
8-6,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,화학물질흡착포(패드형),box,-,-,5,-
8-7,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,화학물질흡착포(필로우형),box,-,-,5,-
8-8,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,화학물질흡착포(붐형),box,-,-,5,-
8-9,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,유흡착제,box,-,-,10,-
8-10,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,모래주머니(5kg),포,-,-,30,-
8-11,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,톱밥(40kg pp포대),포,-,-,10,-
8-12,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,폐기물봉투(25bag),box,-,-,1,-
8-13,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,빗자루,ea,-,-,2,-
8-14,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,쓰레받기,ea,-,-,2,-
8-15,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,양동이(20L),ea,-,-,3,-
8-16,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,랜턴,ea,-,-,2,-
8-17,부여 은산산단,산업단지 내 관리사무소,충남 서천군 장항읍 옥남리 1077,금강청,삽,ea,-,-,5,-
9-1,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,Level C 보호복,ea,-,-,5,-
9-2,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,Level C 마스크(전면형),ea,-,-,5,-
9-3,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,Level C 정화통,ea,-,-,5,-
9-4,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,Level C 보호장갑(유기화합물용),ea,-,-,5,-
9-5,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,Level C 보호장화(내산),ea,-,-,5,-
9-6,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,화학물질흡착포(패드형),box,-,-,5,-
9-7,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,화학물질흡착포(필로우형),box,-,-,5,-
9-8,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,화학물질흡착포(붐형),box,-,-,5,-
9-9,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,유흡착제,box,-,-,10,-
9-10,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,모래주머니(5kg),포,-,-,30,-
9-11,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,톱밥(40kg pp포대),포,-,-,10,-
9-12,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,폐기물봉투(25bag),box,-,-,1,-
9-13,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,빗자루,ea,-,-,2,-
9-14,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,쓰레받기,ea,-,-,2,-
9-15,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,양동이(20L),ea,-,-,3,-
9-16,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,랜턴,ea,-,-,2,-
9-17,서천 장항산단,산업단지 내 공공폐수처리시설,충남 서천군 장항읍 옥남리 1077,금강청,삽,ea,-,-,5,-
10-1,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,화학물질흡착포(붐형 大),BOX,-,-,1,-
10-2,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,화학물질흡착포(붐형),BOX,-,-,4,-
10-3,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,화학물질흡착포(필로우형),BOX,-,-,3,-
10-4,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,화학물질흡착포(패드형,BOX,-,-,6,-
10-5,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,유류 흡착포,BOX,-,-,2,-
10-6,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,화학보호복,EA,-,-,5,-
10-7,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,내산장갑,EA,-,-,5,-
10-8,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,내화학장갑,EA,-,-,5,-
10-9,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,전면형 방독면,EA,-,-,5,-
10-10,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,정화통,EA,-,-,5,-
10-11,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,면장갑,EA,-,-,1,-
10-12,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,모래주머니(4kg),포,-,-,100,-
10-13,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,톱밥(40kg),포,-,-,20,-
10-14,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,팽창질석(9kg),포,-,-,3,-
10-15,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,눈삽,EA,-,-,1,-
10-16,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,빗자루,EA,-,-,1,-
10-17,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,쓰레받이,EA,-,-,1,-
10-18,해룡-율촌터널 인근,-,전남 여수시 율촌면 용전리 산207-12,여수센터,양동이 또는 쓰레기통,EA,-,-,1,-
11-1,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,화학물질흡착포(붐형 大),BOX,-,-,1,-
11-2,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,화학물질흡착포(붐형),BOX,-,-,4,-
11-3,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,화학물질흡착포(필로우형),BOX,-,-,3,-
11-4,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,화학물질흡착포(패드형,BOX,-,-,6,-
11-5,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,유류 흡착포,BOX,-,-,2,-
11-6,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,화학보호복,EA,-,-,5,-
11-7,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,내산장갑,EA,-,-,5,-
11-8,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,내화학장갑,EA,-,-,5,-
11-9,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,전면형 방독면,EA,-,-,5,-
11-10,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,정화통,EA,-,-,5,-
11-11,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,면장갑,EA,-,-,1,-
11-12,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,모래주머니(4kg),포,-,-,50,-
