갈래,업체명,권역,시도,시군구,주소,대표전화,허가현황,처리가능폐기물,보유장비,자료출처
수집·운반,(주)동우에코,경상권역,경상남도,양산시,경남 양산시 하북면 삼덕로 25,055-374-0007,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),고상,,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)만수,경상권역,경상남도,창원시,경남 창원시 의창구 차상로 20,055-297-7171,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)브이앤이,경상권역,경상남도,남해군,경상남도 남해군 남해읍 에코파크길 65-10,055-864-7575,폐기물 수집·운반업체 (여수센터 관할) / 폐기물 중간처리업체 (여수센터 관할),"하수처리오니, 음식물류폐기물, 폐수처리오니",덤프트럭 2대대,03 지자체 관할 폐기물·중장비 업체
수집·운반,(주)삼우오엔이,경상권역,경상남도,김해시,경남 김해시 한림면 김해대로916번길 219,055-326-6613,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)삼일환경,경상권역,경상남도,김해시,경남 김해시 진례면 서부로 520,055-336-5131,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 폐기물 수집·운반업체 (여수센터 관할),"폐합성수지, 폐어망, 폐패각, 임목폐목재 등",기계식상차장치부착차량 3대대,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)새나라환경(운반),경상권역,경상남도,함안군,경남 함안군 칠원읍 동대이길 221,055-251-9898,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)승현알엔티,경상권역,경상남도,함안군,경남 함안군 대산면 부목리205-8,0552514490,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)아시아환경,경상권역,경상남도,창원시,경상남도 창원시 마산회원구 북성로 313 202-1호 (회성동),055-251-9993,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)에스제이랜드,경상권역,경상남도,양산시,"경상남도 양산시 하북면 신평강변6길 12, 힐튼팰리스 103호",055-385-3830,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)에코,경상권역,경상남도,남해군,경상남도 남해군 남해읍 에코파크길 81-23\_ 102호호,055-862-2414,폐기물 수집·운반업체 (여수센터 관할),"폐합성수지, 폐합성고무, 폐패각 등",암롤트럭 1대대,03 지자체 관할 폐기물·중장비 업체
수집·운반,(주)에코원,경상권역,경상남도,창원시,"경남 창원시 마산회원구 북성로 500-1 (두척동,2층2호)",055-231-5244,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)엔엘티에스,경상권역,경상남도,양산시,경남 양산시 산막공단북4길 30,055-387-5235,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),액상,,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)엔이텍크,경상권역,경상남도,양산시,"경남 양산시 물금읍 새실로159
E동 108-1(나래메트로시티)",051-362-1102,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),액상,,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)엠에스,경상권역,경상남도,창원시,경남 창원시 의창구 북면 동전로256번길 3-43,055-297-7278,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)오엔이(ONE),경상권역,경상남도,김해시,경남 김해시 한림면 안곡로 316-11,055-336-9720,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)우리환경(창원),경상권역,경상남도,창원시,"경남 창원시 성산구 정동로162번길 57 (남산동, 한양상가 301호)",055-261-1110,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)이알,경상권역,경상남도,김해시,경상남도 김해시 한림면 안하로116번길 42,055-321-2203,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 종합 재활용업 · 처리방법 재활용,,,14 폐기물처리업체 전국취합
수집·운반,(주)이지에너지,경상권역,경상남도,양산시,"경상남도 양산시 소노길 73-1, 2층",055-381-5460,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),"액상(폐유, 폐유기용제, 폐페인트)",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)장산환경,경상권역,경상남도,사천시,경남 사천시 송포공단길 72-36,055-835-1445,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)재경산업,경상권역,경상남도,김해시,경남 김해시 안곡로 136,055-338-7762,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 종합 재활용업 · 처리방법 재활용,,,14 폐기물처리업체 전국취합
수집·운반,(주)조은에스앤씨,경상권역,경상남도,김해시,경남 김해시 진영읍 김해대로 245 206호,055-346-6884,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)지구환경,경상권역,경상남도,창원시,"경남 창원시 마산회원구 봉암공단14길 23, 201호",055-264-6663,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)지에스로직스,경상권역,경상남도,함안군,경상남도 함안군 법수면 장백로 485-7,055-582-6913,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)카원,경상권역,경상남도,양산시,경남 양산시 상북면 공원로 403-19,055-381-0703,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용 / 지정폐기물 수집운반업체 (울산센터 관할),액상,,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)태경산업환경,경상권역,경상남도,창원시,경상남도 창원시 마산회원구 내서읍 함마대로 2484,055-232-4079,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)태종기업,경상권역,경상남도,함안군,경남 함안군 군북면 삼봉로 142,055-584-0282,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)태창크린텍,경상권역,경상남도,김해시,경상남도 김해시 진영읍 본산로219번길 10,055-322-3274,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)한국환경정유산업,경상권역,경상남도,양산시,경남 양산시 호계동산막공단남14길 16,055-385-4171,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용 / 지정폐기물 수집운반업체 (울산센터 관할),"액상, 고상",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)해암물류,경상권역,경상남도,김해시,경남 김해시 상동면 상동로 265-7,055-333-3286,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)혁진,경상권역,경상남도,양산시,경남 양산시 산막공단북5길 23,055-385-6578,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 종합 재활용업 · 처리방법 재활용 / 지정폐기물 수집운반업체 (울산센터 관할) / 지정폐기물 재활용 (울산센터 관할),"(액상/고상) (폐산, 폐알칼리, 폐유, 폐유기용제, 폐페인트)",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,KC환경서비스(주)창원사업부,경상권역,경상남도,창원시,경상남도 창원시 마산회원구 자유무역6길 103,055-251-7272,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간처분업 · 처리방법 소각 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용,,,14 폐기물처리업체 전국취합
수집·운반,㈜한솔씨엔티,경상권역,경상남도,양산시,"경상남도 양산시 어실로 370, 2동 1층",070-8648-0902,지정폐기물 수집운반업체 (울산센터 관할),"액상(폐유기용제, 폐유)",,03 지자체 관할 폐기물·중장비 업체
수집·운반,가야이앤애스(가야E`S),경상권역,경상남도,김해시,경남 김해시 진영읍 진영리1591-2 성주빌 204호,055-343-1361,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,경상환경energy,경상권역,경상남도,함안군,경남 함안군 칠원면 운서리988-3,055-586-4016,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,그린나래,경상권역,경상남도,창원시,"경남 창원시 의창구 차상로72번길 5-3, 4층",0552960371,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,김해환경,경상권역,경상남도,김해시,"경상남도 김해시 김해대로 1705, 2층",055-331-1606,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,남도환경(주),경상권역,경상남도,김해시,경남 김해시 한림면 용덕리825,055-321-6782,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,남해자원,경상권역,경상남도,남해군,경상남도 남해군 남해읍 에코파크길 31,055-864-5859,폐기물 수집·운반업체 (여수센터 관할),"폐합성수지류, 폐패각, 폐목재류",기계식상차장치부착차량 2대대,03 지자체 관할 폐기물·중장비 업체
수집·운반,대동산업,경상권역,경상남도,김해시,경상남도 김해시 상동면 동북로1007번길 34,055-342-6757,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,대양이엔티,경상권역,경상남도,김해시,경상남도 김해시 한림면 가동로103번길 10,055-342-2377,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,대진기업(주),경상권역,경상남도,양산시,경상남도 양산시 상북면 상북중앙로 129,055-375-7888,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용 / 지정폐기물 재활용 (울산센터 관할),"\[폐유, 폐유기용제, 폐페인트 및 폐락카\](용기)",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,득원산업,경상권역,경상남도,양산시,경남 양산시 북정공단1길 97,055-366-0122,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),"액상, 고상",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,디유환경,경상권역,경상남도,김해시,경상남도 김해시 안곡로 132,055-342-2797,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용,,,14 폐기물처리업체 전국취합
수집·운반,미래환경(김해),경상권역,경상남도,김해시,"경남 김해시 한림면 김해대로927번길 155-1, 2층",055-322-0772,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,보원에코,경상권역,경상남도,양산시,"경남 양산시 동면 금오4길 43-15, 202호",,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,부용환경물류(주),경상권역,경상남도,김해시,경남 김해시 생림면 장재로520번길 8-71,055-324-4906,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,세종환경,경상권역,경상남도,김해시,경남 김해시 진영읍 본산리1204-3,055-345-6217,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,수인환경,경상권역,경상남도,남해군,경상남도 남해군 고현면 남해대로 3047\_ 1동 1층 2호,055-864-2927,폐기물 수집·운반업체 (여수센터 관할),"폐합성수지, 폐합성섬유(고상) 등",카고트럭 4대대,03 지자체 관할 폐기물·중장비 업체
수집·운반,시온환경,경상권역,경상남도,창원시,"경남 창원시 성산구 중앙대로37, 512호",055-297-0736,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,신성환경,경상권역,경상남도,창원시,경남 마산시 진전면 오서리1711-27,055-271-0068,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,에이스환경,경상권역,경상남도,김해시,경상남도 김해시 번화1로44번길 31 508호,055-326-5188,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,오케이환경(주),경상권역,경상남도,사천시,경남 사천시 축동면 내축로 104,,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,용현산업,경상권역,경상남도,김해시,경상남도 김해시 칠산로413번길 6,055-323-5534,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,제이엠에너지,경상권역,경상남도,함안군,경남 함안군 칠서면용성리 418-4,055-586-5805,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,제일씨엔오,경상권역,경상남도,양산시,경남 양산시 상북면대석리1343-3,055-363-3212,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),액상,,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,주식회사 나라환경,경상권역,경상남도,창원시,경남 창원시 마산회원구 합포성지길 5,055-244-3222,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,주식회사 동남정유,경상권역,경상남도,양산시,경남 양산시 산막공단남6길 63,055-335-3521,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용 / 지정폐기물 수집운반업체 (울산센터 관할),"액상, 고상",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,주식회사 여주,경상권역,경상남도,양산시,경상남도 양산시 산막공단남11길 23-16,070-4896-5795,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),"액상(폐유, 폐유기용제)",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,주식회사 이알엠,경상권역,경상남도,창원시,경남 창원시 팔용동39-5번지 (주)공단특수육운 203호,055-296-0866,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,주식회사 제일자원(운반),경상권역,경상남도,김해시,경상남도 김해시 진영읍 본산로269번길 28,055-342-3625,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,철당(주),경상권역,경상남도,양산시,경남 양산시 산막동 314-5,055-362-1704,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 종합 재활용업 · 처리방법 재활용 / 지정폐기물 수집운반업체 (울산센터 관할) / 지정폐기물 재활용 (울산센터 관할),액상,,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,청해티엔에스,경상권역,경상남도,김해시,경남 김해시 화목동702-8,055-323-2833,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,청호이엔지,경상권역,경상남도,김해시,경상남도 김해시 상동면 동북로473번길 220,070-8633-0116,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,태경환경(함안),경상권역,경상남도,함안군,경남 함안군 칠서면 대부로 460-1,055-586-0433,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,하나환경 주식회사,경상권역,경상남도,진주시,"경남 진주시 판문로229번길 1, 3층",055-753-1801,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,한솔환경산업(주),경상권역,경상남도,사천시,경남 사천시 벌용길 118,0558338350,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,한스틸,경상권역,경상남도,김해시,경남 김해시 진례면 고모리고모로526번길 51-9,055-345-7057,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용,,,14 폐기물처리업체 전국취합
수집·운반,현대케미칼,경상권역,경상남도,창원시,경상남도 창원시 의창구 의창대로54번길 14-14,055-268-6267,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(유)종운환경,경상권역,경상북도,포항시,경북 포항시 남구 정몽주로 823-10,054-291-1204,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 수집운반 (대구지방환경청),"분진, 폐유(고상), 소각재, 폐수처리오니, 폐페인트, 폐주물사, 폐석면, 광재, 폐사, 공정오니, 폐유기용제(고상)",,13 지정폐기물 처리업체(대구청) / 14 폐기물처리업체 전국취합
수집·운반,(주)가람환경산업,경상권역,경상북도,포항시,경북 포항시 남구 오천읍 문덕로64번길 33,054-293-0110,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 수집운반 (대구지방환경청) / 의료수집운반 (대구지방환경청),"지정폐기물(액,고상)",,13 지정폐기물 처리업체(대구청) / 14 폐기물처리업체 전국취합
수집·운반,(주)경주환경,경상권역,경상북도,경주시,경북 경주시 안강읍 사방검단길 156-2(사방리),054-774-1224,의료수집운반 (대구지방환경청),의료폐기물,,13 지정폐기물 처리업체(대구청)
수집·운반,(주)구미종합물류,경상권역,경상북도,구미시,"경상북도 구미시 3공단1로 271, 301호 (임수동)",054-474-0547,수집운반업 (구미센터 관할),배출시설계폐기물,수집운반차량 7대,03 지자체 관할 폐기물·중장비 업체
수집·운반,(주)구미환경,경상권역,경상북도,구미시,경상북도 구미시 산호대로32길 5 (옥계동),054-456-1617,수집운반업 (구미센터 관할),배출시설계폐기물,수집운반차량 13대,03 지자체 관할 폐기물·중장비 업체
수집·운반,(주)그린리싸이텍 (수집운반),경상권역,경상북도,김천시,경상북도 김천시 감천면 금감로 1222-11,,폐기물 수집·운반업체 (구미센터 관할),사업장배출시설계폐기물,기계식상차장치부착차량 1대,03 지자체 관할 폐기물·중장비 업체
수집·운반,(주)그린환경,경상권역,경상북도,구미시,경상북도 구미시 지산1길 40 (지산동),054-461-9896,수집운반업 (구미센터 관할),배출시설계폐기물,수집운반차량 2대,03 지자체 관할 폐기물·중장비 업체
수집·운반,(주)길물류,경상권역,경상북도,영주시,경상북도 영주시 적서로 277 (적서동),0546384321,폐기물 수집·운반업체 (구미센터 관할),"폐수처리오니, 사업장배출시설계폐기물, 폐합성섬유",덤프트럭 6대대,03 지자체 관할 폐기물·중장비 업체
수집·운반,(주)남부써비스,경상권역,경상북도,경산시,경북 경산시 압량면 신월리 73,053-817-3396,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 수집운반 (대구지방환경청),폐유(액상),,13 지정폐기물 처리업체(대구청) / 14 폐기물처리업체 전국취합
수집·운반,(주)녹색환경,경상권역,경상북도,경주시,경북 경주시 안강읍 두류길 208,054-762-6224,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 수집운반 (대구지방환경청) / 중간처분 (대구지방환경청),"지정폐기물(액,고상)",,13 지정폐기물 처리업체(대구청) / 14 폐기물처리업체 전국취합
수집·운반,(주)뉴리소스,경상권역,경상북도,경산시,경북 경산시 자인면 일연로 130,053-710-0714,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 종합 재활용업 · 처리방법 재활용 / 종합재활용 (대구지방환경청) / 수집운반 (대구지방환경청),"(04-02-00) 그 밖의 폐유기용제, (06-01-99) 그 밖의 폐광물유, (06-03-00) 그 밖의 폐유",,13 지정폐기물 처리업체(대구청) / 14 폐기물처리업체 전국취합
수집·운반,(주)대구경북환경공사,경상권역,경상북도,칠곡군,경북 칠곡군 가산면 학하리923-5,053-525-6813,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 수집운반 (대구지방환경청),"지정폐기물 [폐유(액상), 폐유, 폐페인트, 분진(고상)]",,13 지정폐기물 처리업체(대구청) / 14 폐기물처리업체 전국취합
수집·운반,(주)덕성,경상권역,경상북도,영천시,경북 영천시 채신1공단길 40-5,054-336-4341,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 종합 재활용업 · 처리방법 재활용 / 종합재활용 (대구지방환경청),"폐수처리오니, 금속성폐촉매, 분진, 그 밖의 광재, 그 밖의 공정오니",,13 지정폐기물 처리업체(대구청) / 14 폐기물처리업체 전국취합
수집·운반,(주)동진환경,경상권역,경상북도,경주시,경북 경주시 천북면 동산리861,054-742-8572,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 수집운반 (대구지방환경청),"폐유(고상), 폐페인트(고상), 분진, 폐주물사",,13 지정폐기물 처리업체(대구청) / 14 폐기물처리업체 전국취합
수집·운반,(주)동특,경상권역,경상북도,구미시,"경상북도 구미시 낙동강변로 61, 구미화물터미널 204 (오태동)",054-465-0764,수집운반업 (구미센터 관할),배출시설계폐기물,수집운반차량 2대,03 지자체 관할 폐기물·중장비 업체
